InstitutionId,InstitutionName,College,UnitId,UnitType,Discipline,PersonId,PersonName,Department,Broad_Field,Rank
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,7658,"BELCHER, ANGELA M",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,7865,"BARZILAY, REGINA",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,8219,"BHATIA, SANGEETA N",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,12578,"BOYDEN, EDWARD",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,20524,"CIMA, MICHAEL J",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,29241,"DOYLE, PATRICK S",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,46757,"HEMANN, MICHAEL",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Associate Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,48052,"HORVITZ, HOWARD ROBERT",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,48264,"HOUSMAN, DAVID E",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,48651,"GUARENTE, LEONARD PERSHING",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,50211,"JACKS, TYLER E",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,58851,"LAUFFENBURGER, DOUGLAS A",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,59618,"LEES, JACQUELINE",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,60069,"IRVINE, DARRELL J",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
123,Massachusetts Institute of Technology,,147078,Medical,Cancer Center,60109,"KIESSLING, LAURA L",David H. Koch Institute for Integrative Cancer Research at MIT,Cancer Center,Professor
