Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,Georgia Institute of Technology,"SAEED, AHMED",1701099,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,Massachusetts Institute of Technology,"ALIZADEH ATTAR, MOHAMMADREZA",789742,0,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,Massachusetts Institute of Technology,"LARSON, KENT",288398,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,Stanford University,"PAVONE, MARCO",525268,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,University of Illinois at Urbana-Champaign,"MARLA, LAVANYA",530027,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,University of Illinois at Urbana-Champaign,"MITTAL, RADHIKA",1058502,0,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,University of Michigan,"LI, MAX Z",1730429,4,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","BALAKRISHNAN, HAMSA",6622,"University of Texas at Austin, The","ARUN, VENKAT",1998454,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,Brown University,"ZIGLER, CORWIN M",630423,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,George Mason University,"HENNEMAN, LUCAS RICHARD FATH",1109596,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,Harvard University,"JACOB, DANIEL J",148561,2,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,Massachusetts Institute of Technology,"FIELD, ARLENE FIORE",404096,0,0,0,0,1,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,Massachusetts Institute of Technology,"GREEN, WILLIAM H",144767,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,Massachusetts Institute of Technology,"KARAMAN, SERTAC",544435,1,0,0,0,0,0,0
