Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Aeronautics and Astronautics, Department of","CRAWLEY, EDWARD F",22177,"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,0,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Materials Science and Engineering, Department of","ALLANORE, ANTOINE",544513,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","CARLONE, LUCA",827382,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","CRAWLEY, EDWARD F",22177,0,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","CULPEPPER, MARTIN",25706,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","HART, DOUGLAS",51803,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","HASTINGS, DANIEL E",45995,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","HOFFMAN, JEFFREY A",56423,0,0,1,12,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","KIM, SANGBAE",288319,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,2,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","LEONARD, JOHN J",60042,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","LERMUSIAUX, PIERRE",53496,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Architecture, Department of","OCHSENDORF, JOHN A",87416,2,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Electrical Engineering and Computer Sciences, Department of","SCHINDALL, JOEL E",121795,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","TRUMPER, DAVID L",109735,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Aeronautics and Astronautics, Department of","WOOD, DANIELLE RENEE",827389,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"Mechanical Engineering, Department of","YANG, MARIA",100078,3,0,1,1,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"Aeronautics and Astronautics, Department of","DARMOFAL, DAVID L",138846,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"Aeronautics and Astronautics, Department of","GALBRAITH, MARSHALL C",936750,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,3,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"Aeronautics and Astronautics, Department of","HANSMAN, ROBERT J",79405,0,0,0,0,0,1,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"Aeronautics and Astronautics, Department of","SPAKOVSZKY, ZOLTAN S",124124,2,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"Aeronautics and Astronautics, Department of","WANG, QIQI",412240,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Aeronautics and Astronautics, Department of","CORDERO, ZACHARY C",801111,0,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,3,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Aeronautics and Astronautics, Department of","FOLK, MARIA",1997378,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Aeronautics and Astronautics, Department of","GALBRAITH, MARSHALL C",936750,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Electrical Engineering and Computer Sciences, Department of","KIRTLEY, JAMES L",54070,0,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Electrical Engineering and Computer Sciences, Department of","LANG, JEFFREY H",58424,0,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Electrical Engineering and Computer Sciences, Department of","PERREAULT, DAVID J",91892,0,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Aeronautics and Astronautics, Department of","SPAKOVSZKY, ZOLTAN S",124124,3,0,0,7,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"Aeronautics and Astronautics, Department of","TAN, CHOON S",175834,3,0,0,3,0,0,0
