Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Aeronautics and Astronautics, Department of",Massachusetts Institute of Technology,"Aeronautics and Astronautics, Department of",42,481,1,0,179,3,26,0
"Aeronautics and Astronautics, Department of",Stanford University,"Computer Science, Department of",1,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of",Stanford University,"Energy Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Stanford University,"Materials Science and Engineering, Department of",2,2,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Stanford University,"Mechanical Engineering, Department of",2,4,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of",Stanford University,"Aeronautics and Astronautics, Department of",4,5,0,0,6,0,0,0
"Aeronautics and Astronautics, Department of",Stanford University,"Electrical Engineering, Department of",2,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of",Illinois Institute of Technology,"Mechanical, Materials and Aerospace Engineering, Department of",2,2,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","University of Maryland, College Park","Aerospace Engineering, Department of",2,0,0,0,1,0,3,0
"Aeronautics and Astronautics, Department of","University of Maryland, College Park","Astronomy, Department of",1,2,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","University of Maryland, College Park","Electrical and Computer Engineering, Department of",2,1,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","University of Maryland, College Park","Mechanical Engineering, Department of",1,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of",Harvard University,"Astronomy, Department of",2,59,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Harvard University,"Earth and Planetary Science, Department of",4,8,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Harvard University,"Organismic and Evolutionary Biology, Department of",1,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Harvard University,"Statistics, Department of",1,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Harvard University,Environmental Science and Engineering Area,3,4,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of",Harvard University,Electrical Engineering Area,1,5,0,0,3,0,0,0
