Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Aeronautics and Astronautics, Department of","Aeronautics and Astronautics, Department of",39,55,0,2,64,2,3,0
"Aeronautics and Astronautics, Department of","Applied Ocean Physics and Engineering, Department of",4,4,0,0,3,0,2,0
"Aeronautics and Astronautics, Department of","Architecture, Department of",2,3,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","Brain and Cognitive Sciences, Department of",2,1,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","Chemical Engineering, Department of",3,2,0,0,0,0,2,0
"Aeronautics and Astronautics, Department of","Chemistry, Department of",3,4,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","Civil and Environmental Engineering, Department of",6,7,0,0,3,0,1,0
"Aeronautics and Astronautics, Department of",Comparative Media Studies/Writing Section,1,2,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","Earth, Atmospheric and Planetary Sciences, Department of",12,22,0,0,3,1,0,0
"Aeronautics and Astronautics, Department of","Economics, Department of",1,0,1,0,0,0,0,0
"Aeronautics and Astronautics, Department of","Electrical Engineering and Computer Sciences, Department of",24,12,0,0,31,5,11,0
"Aeronautics and Astronautics, Department of","Institute for Data, Systems, and Society (IDSS)",6,2,0,0,2,2,1,0
"Aeronautics and Astronautics, Department of",Institute for Medical Engineering and Science (IMES),2,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","Management, Sloan School of",3,1,0,0,0,1,0,0
"Aeronautics and Astronautics, Department of","Marine Chemistry and Geochemistry, Department of",2,2,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","Materials Science and Engineering, Department of",4,3,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","Mathematics, Department of",2,1,0,0,1,1,0,0
"Aeronautics and Astronautics, Department of","Mechanical Engineering, Department of",15,14,0,1,15,0,10,0
"Aeronautics and Astronautics, Department of","Media Arts and Sciences, Program in",2,1,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","Nuclear Science and Engineering, Department of",3,2,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","Physics, Department of",3,62,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","Urban Studies and Planning, Department of",2,0,1,0,0,2,0,0
