Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Aeronautics and Astronautics, Department of","CRAWLEY, EDWARD F",22177,"DE WECK, OLIVIER L",25387,0,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"CARLONE, LUCA",827382,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"CRAWLEY, EDWARD F",22177,0,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"HASTINGS, DANIEL E",45995,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"HOFFMAN, JEFFREY A",56423,0,0,1,12,0,0,0
"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,"WOOD, DANIELLE RENEE",827389,1,0,0,0,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"DARMOFAL, DAVID L",138846,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"GALBRAITH, MARSHALL C",936750,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"GREITZER, EDWARD M",41860,3,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"HANSMAN, ROBERT J",79405,0,0,0,0,0,1,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"SPAKOVSZKY, ZOLTAN S",124124,2,0,0,2,0,0,0
"Aeronautics and Astronautics, Department of","DRELA, MARK",29363,"WANG, QIQI",412240,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"CORDERO, ZACHARY C",801111,0,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"DRELA, MARK",29363,3,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"FOLK, MARIA",1997378,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"GALBRAITH, MARSHALL C",936750,1,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"SPAKOVSZKY, ZOLTAN S",124124,3,0,0,7,0,0,0
"Aeronautics and Astronautics, Department of","GREITZER, EDWARD M",41860,"TAN, CHOON S",175834,3,0,0,3,0,0,0
"Aeronautics and Astronautics, Department of","HARRIS, WESLEY L",45488,"DARMOFAL, DAVID L",138846,0,0,0,1,0,0,0
"Aeronautics and Astronautics, Department of","HARRIS, WESLEY L",45488,"GALBRAITH, MARSHALL C",936750,0,0,0,1,0,0,0
