Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Anthropology Program,"ATALAY, SONYA",4449,,,,,,,,,
Anthropology Program,"BELTRAN, HECTOR",979088,,,,,,,,,
Anthropology Program,"BUYANDELGER, MANDUHAI",395004,,,,,,,,,
Anthropology Program,"HELMREICH, STEFAN",395005,,,,,,,,,
Anthropology Program,"JONES, GRAHAM M",412242,,,,,,,,,
Anthropology Program,"MORAN-THOMAS, AMY",789730,,,,,,,,,
Anthropology Program,"PAXSON, HEATHER ANNE",395009,,,,,,,,,
Anthropology Program,"SILBEY, SUSAN S",395010,,,,,,,,,
Anthropology Program,"STOETZER, BETTINA",789747,,,,,,,,,
Anthropology Program,"WALLEY, CHRISTINE",395011,,,,,,,,,
