Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,Boise State University,"ANDERSON, JAKE",1649293,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,Brigham Young University,"GEE, KENT L",143523,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,Embry-Riddle Aeronautical University,"SNIVELY, JONATHAN B",861063,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,Southern Methodist University,"ARROWSMITH, STEPHEN JOHN",946661,4,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,Southern Methodist University,"STUMP, BRIAN WILLIAM",106711,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,"University of California, Santa Barbara","MATOZA, ROBIN S",768479,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,University of Louisiana at Lafayette,"PETCULESCU, ANDI GABRIEL",563535,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","AVERBUCH, GIL",2157256,University of Wisconsin - Madison,"OYOLA, MAYRA IVELISSE",1792173,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Arizona State University,"HOCHBERG, ERIC J",244900,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Boston University,"FICHOT, CEDRIC",825793,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Oregon State University,"KAVANAUGH, MARIA TERESA",852700,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Rochester Institute of Technology,"BACHMANN, CHARLES M",864401,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Rochester Institute of Technology,"VODACEK, ANTHONY",127648,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Stanford University,"DE LEO, GIULIO",612302,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,Stanford University,"MONISMITH, STEPHEN G",108398,3,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Los Angeles","CAVANAUGH, KYLE",629751,13,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Los Angeles","SOLTERO, ISABELLA ARZENO",1886598,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, San Diego","LEICHTER, JAMES J",152633,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, San Diego","PAWLAK, EUGENE R",75527,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Barbara","DEVRIES, TIM J",632058,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Barbara","MOELLER, HOLLY V",806331,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Barbara","SIEGEL, DAVID A",246550,3,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Barbara","STIER, ADRIAN C",806335,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Cruz","CARR, MARK H",206957,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Cruz","KUDELA, RAPHAEL M",74493,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of California, Santa Cruz","SANTORA, JARROD A",597802,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Florida,"VALLE-LEVINSON, ARNOLDO",295523,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Georgia,"WOODSON, CLIFTON BROCK",627349,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of Kansas, The","REUMAN, DANIEL CLARK",748227,6,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,"University of Maryland, College Park","KARATAYEV, VADIM",2078082,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Massachusetts Boston,"BYRNES, JARRETT",546811,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Miami,"VILLASENOR-DERBEZ, JUAN CARLOS",2147885,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of South Florida,"MULLER-KARGER, FRANK E",109538,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Virginia,"CASTORANI, MAX C N",832613,7,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Virginia,"DONEY, SCOTT CHRISTOPHER",287557,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BELL, THOMAS",1584395,University of Washington,"GARZA, COREY",852083,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BONNEL, JULIEN",919191,Arizona State University,"LEWIS, JESSE SCHERER",842248,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BONNEL, JULIEN",919191,Boston University,"PRIMACK, RICHARD",94718,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BONNEL, JULIEN",919191,Brigham Young University,"NEILSEN, TRACI",863520,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BONNEL, JULIEN",919191,"California State University, Long Beach","LOWE, CHRIS",1836482,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","BONNEL, JULIEN",919191,"College of William & Mary, The","PATRICK, CHRISTOPHER J",786985,1,0,0,0,0,0,0
