Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","CLAYSON, CAROL ANNE",488110,4,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","FARRAR, JOHN",370197,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","JAYNE, STEVEN",288108,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","SEO, HYODAE",544627,3,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","TOOLE, JOHN",289558,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","WELLER, ROBERT",370228,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Physical Oceanography, Department of","YU, LISAN",370230,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"Applied Ocean Physics and Engineering, Department of","ZIPPEL, SETH F",1108287,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"Applied Ocean Physics and Engineering, Department of","MICHEL, ANNA",544623,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"Marine Chemistry and Geochemistry, Department of","NICHOLSON, DAVID",488117,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"Applied Ocean Physics and Engineering, Department of","RALSTON, DAVID",370219,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"Applied Ocean Physics and Engineering, Department of","ZIPPEL, SETH F",1108287,2,0,0,0,2,0,0
"Applied Ocean Physics and Engineering, Department of","CAMILLI, RICHARD",287219,"Applied Ocean Physics and Engineering, Department of","MAKSYM, EDWARD",488115,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Applied Ocean Physics and Engineering, Department of","BONNEL, JULIEN",919191,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,Marine Policy Center,"JIN, DI",779081,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Applied Ocean Physics and Engineering, Department of","LIN, YING-TSONG",370210,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,4,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Applied Ocean Physics and Engineering, Department of","RALSTON, DAVID",370219,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Biology (WHOI), Department of","SOSIK, HEIDI",370185,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Biology (WHOI), Department of","THORROLD, SIMON",370187,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,6,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Biology (WHOI), Department of","ALURU, NEEL",544613,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Biology (WHOI), Department of","ANDERSON, DONALD",370173,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Biology (WHOI), Department of","BROSNAHAN, MICHAEL",919200,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Marine Chemistry and Geochemistry, Department of","BUESSELER, KEN",287189,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Physical Oceanography, Department of","GAWARKIEWICZ, GLEN",370199,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Biology (WHOI), Department of","HAHN, MARK",370201,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"Earth, Atmospheric and Planetary Sciences, Department of","MARSHALL, JOHN C",176483,1,0,0,0,0,0,0
