Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Applied Ocean Physics and Engineering, Department of",Massachusetts Institute of Technology,"Applied Ocean Physics and Engineering, Department of",28,165,0,0,31,4,1,0
"Applied Ocean Physics and Engineering, Department of",Arizona State University,"Earth and Space Exploration, School of",1,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of",Arizona State University,"Geographical Sciences and Urban Planning, School of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Arizona State University,"Sustainability, School of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Arizona State University,"Applied Sciences and Arts, School of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Arizona State University,"Ocean Futures, School of",2,1,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of",Boston College,"Earth and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Boston University,"Biology, Department of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Boston University,"Earth and Environment, Department of",1,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of",Brigham Young University,"Physics and Astronomy, Department of",2,3,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Brown University,"Earth, Environmental, and Planetary Sciences, Department of",2,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Carnegie Mellon University,Robotics Institute,1,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","College of William & Mary, The","Marine Science, School of",3,3,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Colorado School of Mines,"Geophysics, Department of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of",Colorado School of Mines,"Computer Science, Department of",1,0,0,0,1,0,0,0
