Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Applied Ocean Physics and Engineering, Department of","Applied Ocean Physics and Engineering, Department of",24,49,0,0,9,18,1,0
"Applied Ocean Physics and Engineering, Department of","Aeronautics and Astronautics, Department of",3,4,0,0,3,0,2,0
"Applied Ocean Physics and Engineering, Department of","Biology (WHOI), Department of",23,33,0,0,4,13,0,0
"Applied Ocean Physics and Engineering, Department of","Civil and Environmental Engineering, Department of",1,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","Earth, Atmospheric and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",1,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","Geology and Geophysics, Department of",6,5,0,0,1,3,0,0
"Applied Ocean Physics and Engineering, Department of","Marine Chemistry and Geochemistry, Department of",10,11,0,0,0,4,0,0
"Applied Ocean Physics and Engineering, Department of",Marine Policy Center,2,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","Mechanical Engineering, Department of",2,3,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","Media Arts and Sciences, Program in",1,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","Physical Oceanography, Department of",14,25,0,0,0,2,0,0
"Applied Ocean Physics and Engineering, Department of","Science, Technology and Society, Program in",1,0,0,0,0,0,2,0
