Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"SCULLY, MALCOLM",270435,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","EDSON, JAMES",208562,"ZIPPEL, SETH F",1108287,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"EDSON, JAMES",208562,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"LAVERY, ANDONE",288409,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"MICHEL, ANNA",544623,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"RALSTON, DAVID",370219,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","SCULLY, MALCOLM",270435,"ZIPPEL, SETH F",1108287,2,0,0,0,2,0,0
"Applied Ocean Physics and Engineering, Department of","CAMILLI, RICHARD",287219,"MAKSYM, EDWARD",488115,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"BONNEL, JULIEN",919191,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"LIN, YING-TSONG",370210,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"RALSTON, DAVID",370219,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"SCULLY, MALCOLM",270435,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"YOERGER, DANA",289778,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LAVERY, ANDONE",288409,"ZHANG, WEIFENG",488120,6,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"OLIVER, HILDE",1332662,8,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"RALSTON, DAVID",370219,2,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,"ZHANG, WEIFENG",488120,9,0,0,0,2,0,0
"Applied Ocean Physics and Engineering, Department of","RAUBENHEIMER, BRITT",289052,"ELGAR, STEVE",370196,11,0,0,2,8,0,0
"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,"FREITAG, LEE",826240,0,0,0,0,0,1,0
"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,"GIRDHAR, YOGESH",837858,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,"LAVERY, ANDONE",288409,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,"MCCAMMON, SETH",2157260,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,"WHITE, SHERI",919196,0,0,0,0,0,1,0
"Applied Ocean Physics and Engineering, Department of","YOERGER, DANA",289778,"ZHANG, WEIFENG",488120,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","DUDA, TIMOTHY",370195,"LIN, YING-TSONG",370210,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","DUDA, TIMOTHY",370195,"TRAYKOVSKI, PETER",370227,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","DUDA, TIMOTHY",370195,"ZHANG, WEIFENG",488120,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","ELGAR, STEVE",370196,"RAUBENHEIMER, BRITT",289052,11,0,0,2,8,0,0
"Applied Ocean Physics and Engineering, Department of","LIN, YING-TSONG",370210,"BONNEL, JULIEN",919191,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LIN, YING-TSONG",370210,"DUDA, TIMOTHY",370195,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LIN, YING-TSONG",370210,"LAVERY, ANDONE",288409,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","LIN, YING-TSONG",370210,"ZHANG, WEIFENG",488120,3,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","RALSTON, DAVID",370219,"LAVERY, ANDONE",288409,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","RALSTON, DAVID",370219,"MCGILLICUDDY, DENNIS",288637,2,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","RALSTON, DAVID",370219,"SCULLY, MALCOLM",270435,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","RALSTON, DAVID",370219,"TRAYKOVSKI, PETER",370227,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","TRAYKOVSKI, PETER",370227,"DUDA, TIMOTHY",370195,0,0,0,1,0,0,0
"Applied Ocean Physics and Engineering, Department of","TRAYKOVSKI, PETER",370227,"RALSTON, DAVID",370219,1,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MAKSYM, EDWARD",488115,"CAMILLI, RICHARD",287219,0,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","MAKSYM, EDWARD",488115,"WALKER, CATHERINE",1108286,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","MAKSYM, EDWARD",488115,"ZHANG, WEIFENG",488120,3,0,0,0,1,0,0
"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,"DUDA, TIMOTHY",370195,2,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,"GIRDHAR, YOGESH",837858,1,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,"LAVERY, ANDONE",288409,6,0,0,0,0,0,0
"Applied Ocean Physics and Engineering, Department of","ZHANG, WEIFENG",488120,"LIN, YING-TSONG",370210,3,0,0,0,0,0,0
