Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Architecture, Department of","AKSAMIJA, AZRA",488064,Harvard University,"ASANI, ALI S",533966,0,1,0,0,0,0,0
"Architecture, Department of","CLIFFORD, BRANDON",827625,Syracuse University,"DECORSE, CHRISTOPHER R",25518,1,0,0,0,0,0,0
"Architecture, Department of","CLIFFORD, BRANDON",827625,University of West Florida,"COOK, GREGORY D",2003306,1,0,0,0,0,0,0
"Architecture, Department of","DE MONCHAUX, NICHOLAS",27868,New York University,"KONTOKOSTA, CONSTANTINE E",789648,0,1,0,0,0,0,0
"Architecture, Department of","DUTTA, ARINDAM",32435,"University of California, Los Angeles","MATHUR, SALONI",155225,0,1,0,0,0,0,0
"Architecture, Department of","FERNANDEZ, JOHN",32175,Georgia Institute of Technology,"RAKHA, TAREK",781978,3,0,0,2,0,0,0
"Architecture, Department of","FERNANDEZ, JOHN",32175,Massachusetts Institute of Technology,"YANG, MARIA",100078,0,0,0,1,0,0,0
"Architecture, Department of","FERNANDEZ, JOHN",32175,Syracuse University,"VELIPASALAR GURSOY, SENEM",476187,1,0,0,2,0,0,0
"Architecture, Department of","FERNANDEZ, JOHN",32175,"University of Alabama, The","CHEN, KAIWEN",1487947,0,0,0,1,0,0,0
"Architecture, Department of","GHOSN, RANIA",434049,Temple University,"FLEMING, BILLY",2050324,1,0,0,0,0,0,0
"Architecture, Department of","GHOSN, RANIA",434049,Tulane University,"AIDOO, FALLON S",1175605,1,0,0,0,0,0,0
"Architecture, Department of","GHOSN, RANIA",434049,University of Michigan,"JAZAIRY, EL HADI",434050,1,4,2,0,0,0,0
"Architecture, Department of","GHOSN, RANIA",434049,University of Pennsylvania,"VARNER, JESSICA",2103257,1,0,0,0,0,0,0
"Architecture, Department of","GLICKSMAN, LEON R",144062,Massachusetts Institute of Technology,"LIENHARD, JOHN H",92170,0,1,0,0,0,0,0
"Architecture, Department of","GLICKSMAN, LEON R",144062,Massachusetts Institute of Technology,"NORFORD, LESLIE KEITH",86061,0,0,0,1,0,0,0
"Architecture, Department of","JARZOMBEK, MARK",54642,Harvard University,"LEON CRESPO, ANA MARIA",773760,1,0,0,0,0,0,0
