Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,1,0,0,0,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Institute for Data, Systems, and Society (IDSS)","BOTTERUD, AUDUN",1597283,1,0,0,0,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Architecture, Department of","GLICKSMAN, LEON R",144062,0,0,0,1,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Electrical Engineering and Computer Sciences, Department of","LEEB, STEVEN B",152565,6,0,0,1,0,1,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Architecture, Department of","MUELLER, CAITLIN T",779101,2,0,0,1,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"Architecture, Department of","REINHART, CHRISTOPH",544448,1,0,0,0,0,0,0
"Architecture, Department of","OCHSENDORF, JOHN A",87416,"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,2,0,0,1,0,0,0
"Architecture, Department of","OCHSENDORF, JOHN A",87416,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,2,0,0,1,0,0,0
"Architecture, Department of","OCHSENDORF, JOHN A",87416,"Architecture, Department of","MUELLER, CAITLIN T",779101,1,0,0,0,0,0,0
"Architecture, Department of","OCHSENDORF, JOHN A",87416,"Mechanical Engineering, Department of","YANG, MARIA",100078,2,0,0,1,0,0,0
"Architecture, Department of","GLICKSMAN, LEON R",144062,"Mechanical Engineering, Department of","LIENHARD, JOHN H",92170,0,1,0,0,0,0,0
"Architecture, Department of","GLICKSMAN, LEON R",144062,"Architecture, Department of","NORFORD, LESLIE KEITH",86061,0,0,0,1,0,0,0
"Architecture, Department of","SASS, LAWRENCE",164042,"Architecture, Department of","MUELLER, CAITLIN T",779101,2,0,0,0,0,0,0
"Architecture, Department of","REINHART, CHRISTOPH",544448,"Institute for Data, Systems, and Society (IDSS)","BOTTERUD, AUDUN",1597283,1,0,0,0,0,0,0
"Architecture, Department of","REINHART, CHRISTOPH",544448,"Architecture, Department of","MUELLER, CAITLIN T",779101,3,0,0,1,0,0,0
"Architecture, Department of","REINHART, CHRISTOPH",544448,"Architecture, Department of","NORFORD, LESLIE KEITH",86061,1,0,0,0,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Civil and Environmental Engineering, Department of","CARSTENSEN, JOSEPHINE V",924534,1,0,0,0,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Mechanical Engineering, Department of","KIM, SANG-GOOK",60327,0,0,0,0,1,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Architecture, Department of","NORFORD, LESLIE KEITH",86061,2,0,0,1,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Architecture, Department of","OCHSENDORF, JOHN A",87416,1,0,0,0,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Architecture, Department of","REINHART, CHRISTOPH",544448,3,0,0,1,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Architecture, Department of","SASS, LAWRENCE",164042,2,0,0,0,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"Mechanical Engineering, Department of","YANG, MARIA",100078,0,0,0,0,1,0,0
"Architecture, Department of","TIBBITS, SKYLAR",827624,Anthropology Program,"HELMREICH, STEFAN",395005,0,1,0,0,0,0,0
"Architecture, Department of","KENNEDY, SHEILA",288291,"Chemical Engineering, Department of","STRANO, MICHAEL S",106262,1,0,0,0,0,0,0
"Architecture, Department of","WESCOAT, JAMES",176091,"Earth, Atmospheric and Planetary Sciences, Department of","SELIN, NOELLE E",412264,1,0,0,0,0,0,0
"Architecture, Department of","FERNANDEZ, JOHN",32175,"Mechanical Engineering, Department of","YANG, MARIA",100078,0,0,0,1,0,0,0
"Architecture, Department of","MAZEREEUW, MIHO",627123,"Urban Studies and Planning, Department of","STEIL, JUSTIN P",789767,1,0,0,0,0,0,0
"Architecture, Department of","MAZEREEUW, MIHO",627123,"Mechanical Engineering, Department of","YANG, MARIA",100078,0,0,0,0,1,0,0
"Architecture, Department of","MILJACKI, ANA",175841,"Urban Studies and Planning, Department of","WENDEL, DELIA",856147,1,0,0,0,0,0,0
