Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Architecture, Department of",Massachusetts Institute of Technology,"Architecture, Department of",20,51,13,0,7,0,2,0
"Architecture, Department of",Arizona State University,"Geographical Sciences and Urban Planning, School of",1,1,0,0,0,0,0,0
"Architecture, Department of",Arizona State University,"Arts, Media and Engineering, School of",1,1,0,0,0,0,0,0
"Architecture, Department of",Arizona State University,"Sustainability, School of",1,1,0,0,0,0,0,0
"Architecture, Department of",Arizona State University,"Computing and Augmented Intelligence, School of - Computer Science Faculty",1,1,0,0,0,0,0,0
"Architecture, Department of",Arizona State University,"Design School, The",1,1,0,0,0,0,0,0
"Architecture, Department of",Boston University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Boston University,"Materials Science and Engineering, Division of",1,1,0,0,0,0,0,0
"Architecture, Department of",Brown University,"Physics, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Brown University,"History of Art and Architecture, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Carnegie Mellon University,"Architecture, School of",2,1,0,0,1,0,0,0
"Architecture, Department of",Carnegie Mellon University,"Design, School of",1,0,0,0,1,0,0,0
"Architecture, Department of",Clemson University,"Architecture, School of",2,2,0,0,1,0,1,0
"Architecture, Department of",Cornell University,"Architecture, Department of",2,2,0,0,0,0,0,0
"Architecture, Department of",Cornell University,"Design Tech, Department of",1,2,0,0,0,0,0,0
"Architecture, Department of",Georgia Institute of Technology,"Architecture, School of",3,6,0,0,2,0,0,0
"Architecture, Department of",Harvard University,"African and African American Studies, Department of",1,0,1,0,0,0,0,0
"Architecture, Department of",Harvard University,"Architecture, Department of",4,4,1,0,1,0,0,0
"Architecture, Department of",Harvard University,"Germanic Languages and Literatures, Department of",1,0,0,1,0,0,0,0
"Architecture, Department of",Harvard University,"History of Art and Architecture, Department of",1,0,0,1,0,0,0,0
"Architecture, Department of",Harvard University,"Near Eastern Languages and Civilizations, Department of",1,0,1,0,0,0,0,0
"Architecture, Department of",Harvard University,"South Asian Studies, Department of",1,0,1,0,0,0,0,0
"Architecture, Department of",Harvard University,"Religion, Committee on the Study of",1,0,1,0,0,0,0,0
"Architecture, Department of",Illinois Institute of Technology,"Architecture, College of",1,2,0,0,0,0,0,0
"Architecture, Department of",New Jersey Institute of Technology,"Architecture and Design, College of",1,1,0,0,0,0,0,0
"Architecture, Department of",New York University,"Civil and Urban Engineering (Polytechnic Institute), Department of",1,0,1,0,0,0,0,0
"Architecture, Department of",Northeastern University,"Architecture, School of",4,5,1,0,0,0,0,0
"Architecture, Department of",Northwestern University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of","Ohio State University, The","Architecture, School of",2,1,1,0,0,0,0,0
"Architecture, Department of",Oregon State University,"Civil and Construction Engineering, School of",2,1,0,0,0,0,0,0
"Architecture, Department of",Pennsylvania State University - University Park,"Architectural Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Princeton University,"Architecture, School of",1,6,0,0,0,0,0,0
"Architecture, Department of",Purdue University,"Mechanical Engineering, Department of",1,6,0,0,1,0,1,0
"Architecture, Department of",Rice University,"Architecture, School of",1,5,0,0,0,0,0,0
"Architecture, Department of",Stanford University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Stanford University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Syracuse University,"Anthropology, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Syracuse University,"Electrical Engineering and Computer Science, Department of",1,1,0,0,2,0,0,0
