Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Architecture, Department of","Architecture, Department of",6,9,0,0,3,0,0,0
"Architecture, Department of","Aeronautics and Astronautics, Department of",2,3,0,0,1,0,0,0
"Architecture, Department of",Anthropology Program,1,0,1,0,0,0,0,0
"Architecture, Department of","Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of","Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of",Comparative Media Studies/Writing Section,1,2,0,0,1,0,0,0
"Architecture, Department of","Earth, Atmospheric and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Architecture, Department of","Electrical Engineering and Computer Sciences, Department of",1,6,0,0,1,0,1,0
"Architecture, Department of","Institute for Data, Systems, and Society (IDSS)",3,5,0,0,1,0,0,0
"Architecture, Department of","Mechanical Engineering, Department of",4,8,1,0,3,2,1,0
"Architecture, Department of","Urban Studies and Planning, Department of",3,3,0,0,0,0,0,0
