Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"GLICKSMAN, LEON R",144062,0,0,0,1,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"MUELLER, CAITLIN T",779101,2,0,0,1,0,0,0
"Architecture, Department of","NORFORD, LESLIE KEITH",86061,"REINHART, CHRISTOPH",544448,1,0,0,0,0,0,0
"Architecture, Department of","OCHSENDORF, JOHN A",87416,"MUELLER, CAITLIN T",779101,1,0,0,0,0,0,0
"Architecture, Department of","GLICKSMAN, LEON R",144062,"NORFORD, LESLIE KEITH",86061,0,0,0,1,0,0,0
"Architecture, Department of","SASS, LAWRENCE",164042,"MUELLER, CAITLIN T",779101,2,0,0,0,0,0,0
"Architecture, Department of","REINHART, CHRISTOPH",544448,"MUELLER, CAITLIN T",779101,3,0,0,1,0,0,0
"Architecture, Department of","REINHART, CHRISTOPH",544448,"NORFORD, LESLIE KEITH",86061,1,0,0,0,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"NORFORD, LESLIE KEITH",86061,2,0,0,1,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"OCHSENDORF, JOHN A",87416,1,0,0,0,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"REINHART, CHRISTOPH",544448,3,0,0,1,0,0,0
"Architecture, Department of","MUELLER, CAITLIN T",779101,"SASS, LAWRENCE",164042,2,0,0,0,0,0,0
"Architecture, Department of","AGUIRRE, LAIDA A",957743,,,,,,,,,
"Architecture, Department of","AKSAMIJA, AZRA",488064,,,,,,,,,
"Architecture, Department of","BARRY, JUDITH",827660,,,,,,,,,
"Architecture, Department of","BUCCI, ANGELO",1977457,,,,,,,,,
"Architecture, Department of","CLIFFORD, BRANDON",827625,,,,,,,,,
"Architecture, Department of","DANIELS, JANICE YOLANDE",262186,,,,,,,,,
"Architecture, Department of","DE MONCHAUX, NICHOLAS",27868,,,,,,,,,
"Architecture, Department of","DUTTA, ARINDAM",32435,,,,,,,,,
"Architecture, Department of","FERNANDEZ, JOHN",32175,,,,,,,,,
"Architecture, Department of","GARCIA-ABRIL RUIZ, ANTON",544446,,,,,,,,,
"Architecture, Department of","GHOSN, RANIA",434049,,,,,,,,,
"Architecture, Department of","GOULTHORPE, MARK",47078,,,,,,,,,
"Architecture, Department of","GREEN, ELLEN RENEE",488066,,,,,,,,,
"Architecture, Department of","GUPTA, HUMA",1731341,,,,,,,,,
"Architecture, Department of","HYDE, TIMOTHY W",390654,,,,,,,,,
"Architecture, Department of","JARZOMBEK, MARK",54642,,,,,,,,,
"Architecture, Department of","JIH, JEREMY R",1977458,,,,,,,,,
"Architecture, Department of","JONES, CAROLINE A",149233,,,,,,,,,
"Architecture, Department of","KENNEDY, SHEILA",288291,,,,,,,,,
"Architecture, Department of","KNIGHT, TERRY W",61508,,,,,,,,,
"Architecture, Department of","MAZEREEUW, MIHO",627123,,,,,,,,,
"Architecture, Department of","MILJACKI, ANA",175841,,,,,,,,,
"Architecture, Department of","MURPHY, CAROLINE ELIZABETH",1922653,,,,,,,,,
"Architecture, Department of","NAGAKURA, TAKEHIKO",157827,,,,,,,,,
"Architecture, Department of","NORMAN, CARRIE",874991,,,,,,,,,
"Architecture, Department of","O'BRIEN, WILLIAM GEORGE",412243,,,,,,,,,
"Architecture, Department of","RABBAT, NASSER O",95304,,,,,,,,,
"Architecture, Department of","SANTOS, ADELE NAUDE",102171,,,,,,,,,
"Architecture, Department of","SARKIS, ANTOINE HASHIM",121466,,,,,,,,,
"Architecture, Department of","SCOTT, ANDREW M",122202,,,,,,,,,
"Architecture, Department of","SEGAL, RAFAEL",779116,,,,,,,,,
"Architecture, Department of","SHIEH, ROSALYNE",434054,,,,,,,,,
"Architecture, Department of","SINNOKROT, NIDA",919198,,,,,,,,,
"Architecture, Department of","SMENTEK, KRISTEL R",176090,,,,,,,,,
"Architecture, Department of","SPIRN, ANNE WHISTON",124250,,,,,,,,,
"Architecture, Department of","STINY, GEORGE N",87327,,,,,,,,,
"Architecture, Department of","TIBBITS, SKYLAR",827624,,,,,,,,,
"Architecture, Department of","URBONAS, GEDIMINAS",289582,,,,,,,,,
"Architecture, Department of","WESCOAT, JAMES",176091,,,,,,,,,
