Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,1,0,0,0,0,0,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,0,0,0,0,0,1,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Chemical Engineering, Department of","HAMMOND, PAULA T",145732,5,0,0,0,0,6,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,4,0,0,0,0,0,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Biological Engineering, Department of","LANGER, ROBERT S",83112,1,0,0,0,0,0,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Chemical Engineering, Department of","OLSEN, BRADLEY D",412248,1,0,0,0,0,0,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Chemical Engineering, Department of","STRANO, MICHAEL S",106262,0,0,0,0,0,1,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"Biological Engineering, Department of","VOIGT, CHRISTOPHER A",488068,1,0,0,0,0,1,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","BOYER, LAURIE ANN",175857,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,2,0,0,0,0,0,1
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,2,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Biology, Department of","JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Electrical Engineering and Computer Sciences, Department of","KELLIS, MANOLIS",53694,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Chemistry, Department of","KIESSLING, LAURA L",60109,2,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","LANGER, ROBERT S",83112,0,0,0,0,0,20,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Media Arts and Sciences, Program in","SARKAR, DEBLINA",837099,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","SO, PETER T. C",14958,0,0,0,2,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Physics, Department of","SOLJACIC, MARIN",104902,0,0,0,2,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Physics, Department of","TEGMARK, MAX ERIK",168639,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,5,0,0,0,2,1,2
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Biology, Department of","WILSON, MATTHEW A",129535,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","YANG, GUANGYU",1351827,0,0,0,1,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,Institute for Medical Engineering and Science (IMES),"ANTHONY, BRIAN",779056,0,0,0,1,1,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","BARBASTATHIS, GEORGE",132426,0,0,0,2,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","BISCHOFBERGER, IRMGARD",827641,2,0,0,0,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Biological Engineering, Department of","BOYDEN, EDWARD",12578,0,0,0,2,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Materials Science and Engineering, Department of","DAO, MING",432434,0,0,0,1,1,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Mathematics, Department of","DUNKEL, JOERN",627158,1,0,0,0,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Biological Engineering, Department of","ENGELWARD, BEVIN P",141156,1,0,0,0,0,1,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Biological Engineering, Department of","KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Mechanical Engineering, Department of","KOLLE, MATHIAS",627162,2,0,0,0,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Biology, Department of","NEDIVI, ELLY",158035,1,0,0,1,3,1,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,2,0,0,2,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,1,0,0,1,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"Biology, Department of","WEISSBOURD, BRANDON",1631690,0,0,0,1,0,0,0
"Biological Engineering, Department of","CHAKRABORTY, ARUP K",17819,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biological Engineering, Department of","CHAKRABORTY, ARUP K",17819,"Physics, Department of","KARDAR, MEHRAN",57520,5,0,0,0,1,0,0
"Biological Engineering, Department of","CHAKRABORTY, ARUP K",17819,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,2,0,0,0,1,0,0
"Biological Engineering, Department of","CHAKRABORTY, ARUP K",17819,"Biology, Department of","YOUNG, RICHARD A",100462,2,0,0,0,2,0,0
"Biological Engineering, Department of","DEDON, PETER C",25472,"Biological Engineering, Department of","ALM, ERIC J",176231,0,0,0,0,1,0,0
"Biological Engineering, Department of","DEDON, PETER C",25472,"Biology, Department of","BATISTA, FACUNDO",815641,1,0,0,0,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Biological Engineering, Department of","BIRNBAUM, MICHAEL E",827631,2,0,0,0,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Biological Engineering, Department of","BOYER, LAURIE ANN",175857,3,0,0,0,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Biology, Department of","CHEN, JIANZHU",176227,0,0,0,1,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Biological Engineering, Department of","ENGELWARD, BEVIN P",141156,1,0,0,0,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Electrical Engineering and Computer Sciences, Department of","RAM, RAJEEV J",161585,0,0,0,0,1,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Biology, Department of","SINSKEY, ANTHONY J",85646,0,0,0,0,1,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"Electrical Engineering and Computer Sciences, Department of","VOLDMAN, JOEL",127691,2,0,0,0,0,1,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","BIRNBAUM, MICHAEL E",827631,1,0,0,0,0,0,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","BRYSON, BRYAN DAVID",856140,1,0,0,0,0,0,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","GRIFFITH, LINDA G",144921,5,0,0,0,1,2,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biology, Department of","HEMANN, MICHAEL",46757,2,0,0,0,0,2,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biology, Department of","JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Chemistry, Department of","TANNENBAUM, STEVEN R",107807,0,0,0,0,0,1,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Mechanical Engineering, Department of","TRUMPER, DAVID L",109735,1,0,0,0,0,0,0
