Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biological Engineering, Department of",Massachusetts Institute of Technology,"Biological Engineering, Department of",39,565,2,0,16,18,250,0
"Biological Engineering, Department of",Purdue University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Purdue University,"Industrial and Molecular Pharmaceutics, Department of",1,0,0,0,0,0,1,0
"Biological Engineering, Department of",Arizona State University,"Life Sciences, School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Arizona State University,"Biological and Health Systems Engineering, School of",2,1,0,0,0,0,2,0
"Biological Engineering, Department of",Arizona State University,"Molecular Sciences, School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Texas at Austin, The","Chemical Engineering, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of","University of Texas at Austin, The","Speech, Language, and Hearing Sciences, Department of",1,0,0,0,1,0,0,0
"Biological Engineering, Department of","University of Texas at Austin, The","Computer Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Texas at Austin, The","Pharmacy, College of",1,0,0,0,0,0,1,0
"Biological Engineering, Department of","University of Texas at Austin, The","Chemistry, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Texas at Austin, The","Molecular Biosciences, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",Oregon Health & Science University,"Cell, Developmental and Cancer Biology, Department of",3,3,0,0,0,0,0,0
"Biological Engineering, Department of",Oregon Health & Science University,"Molecular and Medical Genetics, Department of",2,1,0,0,0,0,0,0
"Biological Engineering, Department of",Oregon Health & Science University,"Biomedical Engineering, Department of",5,2,0,0,0,0,0,0
"Biological Engineering, Department of",Oregon Health & Science University,"Pathology and Laboratory Medicine, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",City of Hope Graduate School of Biological Sciences,"Biological Sciences, Graduate School of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of","Stony Brook University, State University of New York","Biomedical Engineering, Department of",1,0,0,0,0,0,4,0
"Biological Engineering, Department of","Stony Brook University, State University of New York","Pharmacology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","Stony Brook University, State University of New York","Materials Science and Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",North Dakota State University,"Civil, Construction and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",North Dakota State University,"Microbiological Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Berkeley","Bioengineering, Department of",3,5,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Berkeley","Chemistry, Department of",1,0,0,0,0,0,1,0
"Biological Engineering, Department of","University of California, Berkeley","Molecular and Cell Biology, Department of",7,5,0,0,0,0,1,0
"Biological Engineering, Department of","University of California, Berkeley","Physics, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Berkeley","Nutritional Science and Toxicology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Berkeley","Public Health, School of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Berkeley","Neuroscience, Department of",2,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Bioengineering, Department of",8,10,0,0,0,0,1,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Cell and Developmental Biology, Department of",2,3,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Chemistry, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Electrical and Computer Engineering, Department of",2,3,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Mechanical Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Comparative Biosciences, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Illinois at Urbana-Champaign,"Veterinary Clinical Medicine, Department of",2,2,0,0,1,0,0,0
"Biological Engineering, Department of",Brandeis University,"Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Missouri,"Food, Nutrition and Exercise Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Missouri,"Molecular Microbiology and Immunology, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",Colorado State University,"Clinical Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Colorado State University,"Environmental and Radiological Health Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Drexel University,"Biomedical Engineering, Science and Health Systems, School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Montana State University,"Microbiology and Cell Biology, Department of",2,3,0,0,0,0,0,0
"Biological Engineering, Department of",Washington State University,"Plant Pathology, Department of",1,0,0,0,0,1,0,0
"Biological Engineering, Department of",Washington State University,"Electrical Engineering and Computer Science, School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Washington State University,"Global Health, Paul G. Allen School for",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Chicago, The","Biochemistry and Molecular Biology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Chicago, The","Chemistry, Department of",1,0,0,0,0,0,2,0
"Biological Engineering, Department of","University of Chicago, The","Molecular Genetics and Cell Biology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Chicago, The","Neurobiology, Department of",1,0,0,0,0,1,0,0
"Biological Engineering, Department of","University of Chicago, The","Physics, Department of",2,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Chicago, The","Psychology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Chicago, The","Microbiology, Department of",1,1,0,0,0,0,1,0
"Biological Engineering, Department of","University of Chicago, The","Molecular Engineering, Pritzker School of",2,1,0,0,0,0,4,0
"Biological Engineering, Department of",University of Louisiana at Lafayette,"Biology, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",Mississippi State University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Utah, The","Bioengineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Utah, The","Pathology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of Utah, The","Neurology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Cornell University,"Biological and Environmental Engineering, Department of",1,1,0,0,0,0,18,0
"Biological Engineering, Department of",Cornell University,"Biomedical Engineering, Department of",8,3,0,0,0,0,4,0
"Biological Engineering, Department of",Cornell University,"Chemistry and Chemical Biology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Cornell University,"Computer Science, Department of",1,0,0,0,1,0,0,0
"Biological Engineering, Department of",Cornell University,"Materials Science and Engineering, Department of",1,0,0,0,0,0,1,0
"Biological Engineering, Department of",Cornell University,"Chemical and Biomolecular Engineering, School of",3,3,0,0,0,0,6,0
"Biological Engineering, Department of",Cornell University,"Molecular Medicine, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Cornell University,"Microbiology and Immunology, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",California Institute of Technology,"Applied Physics and Materials Science, Department of",2,3,0,0,0,0,0,0
"Biological Engineering, Department of",California Institute of Technology,"Biology and Biological Engineering, Division of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",California Institute of Technology,"Chemistry and Chemical Engineering, Division of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",California Institute of Technology,"Aerospace, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Riverside","Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Riverside","Chemical and Environmental Engineering, Department of",2,1,0,0,0,0,1,0
"Biological Engineering, Department of","University of California, Riverside","Chemistry, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Riverside","Molecular, Cell and Systems Biology, Dept of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Nebraska Medical Center,"Pathology and Microbiology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Nebraska Medical Center,"Neurological Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Genetics and Genomic Sciences, Department of",5,10,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Microbiology, Department of",2,6,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Neuroscience, Department of",4,10,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Oncological Sciences, Department of",1,4,0,0,0,0,8,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Pathology, Molecular and Cell Based Medicine, Department of",2,11,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Pharmacological Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Population Health Science and Policy, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Environmental Medicine and Public Health, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Icahn School of Medicine at Mount Sinai,"Artificial Intelligence and Human Health, Department of",5,9,0,0,0,0,1,0
"Biological Engineering, Department of",Carnegie Mellon University,"Biological Sciences, Department of",3,5,0,0,0,0,3,0
"Biological Engineering, Department of",Carnegie Mellon University,"Biomedical Engineering, Department of",4,3,0,0,0,0,15,0
"Biological Engineering, Department of",Carnegie Mellon University,"Chemical Engineering, Department of",1,1,0,0,0,0,8,0
"Biological Engineering, Department of",Carnegie Mellon University,"Machine Learning, Department of",1,0,0,0,1,0,0,0
"Biological Engineering, Department of",Carnegie Mellon University,"Materials Science and Engineering, Department of",2,1,0,0,0,0,4,0
"Biological Engineering, Department of",Carnegie Mellon University,"Business, School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Carnegie Mellon University,"Computational Biology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Carnegie Mellon University,Neuroscience Institute,1,1,0,0,0,0,3,0
"Biological Engineering, Department of","University of California, Los Angeles","Computational Medicine, Department of",1,8,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Epidemiology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Human Genetics, Department of",2,10,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Microbiology, Immunology and Molecular Genetics, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Molecular and Medical Pharmacology, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Molecular, Cell and Developmental Biology, Department of",2,3,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of","University of California, Los Angeles","Bioengineering, Department of",2,1,0,0,0,0,1,0
"Biological Engineering, Department of","University of California, Los Angeles","Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Central Florida,"Biomedical Sciences, School of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Central Florida,"Optics and Photonics, College of",1,0,0,0,2,0,0,0
"Biological Engineering, Department of",Hofstra University,"Nursing, School of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,"Biomedical Sciences, School of",15,11,0,0,0,0,2,0
"Biological Engineering, Department of",Princeton University,"Chemical and Biological Engineering, Department of",1,0,0,0,0,0,3,0
"Biological Engineering, Department of",Princeton University,"Computer Science, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",Princeton University,"Molecular Biology, Department of",3,5,0,0,0,0,0,0
"Biological Engineering, Department of",Princeton University,"Physics, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Princeton University,Neuroscience Institute,1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Princeton University,Omenn-Darling Bioengineering Institute,2,1,0,0,0,0,3,0
"Biological Engineering, Department of",Old Dominion University,"Mechanical and Aerospace Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Georgia,"Biochemistry and Molecular Biology, Department of",2,5,0,0,0,0,0,0
"Biological Engineering, Department of",University of Massachusetts Medical School,"Microbiology, Department of",4,4,0,0,0,0,0,0
"Biological Engineering, Department of",University of Massachusetts Medical School,"Neurobiology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Massachusetts Medical School,"Pathology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Massachusetts Medical School,"Systems Biology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Biochemistry and Biophysics, Department of",3,4,0,0,0,0,2,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Biostatistics, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Epidemiology, Department of",2,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Genetics, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Microbiology and Immunology, Department of",1,1,0,0,1,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Pharmacology, Department of",3,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of North Carolina at Chapel Hill,"Pharmacy, School of",2,4,0,0,0,0,1,0
"Biological Engineering, Department of",University of Notre Dame,"Aerospace and Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Notre Dame,"Chemical and Biomolecular Engineering, Department of",2,1,0,0,0,0,3,0
"Biological Engineering, Department of",University of Notre Dame,"Chemistry and Biochemistry, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Minnesota - Duluth,"Pharmaceutics, Department of",2,10,0,0,0,0,1,0
"Biological Engineering, Department of",University of Maryland Eastern Shore,"Engineering and Aviation Sciences, Department of",1,0,0,0,1,0,0,0
"Biological Engineering, Department of",University of Washington,"Biochemistry, Department of",1,3,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Bioengineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Chemistry, Department of",1,5,0,0,1,0,0,0
"Biological Engineering, Department of",University of Washington,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Genome Sciences, Department of",3,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Immunology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Laboratory Medicine and Pathology, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Global Health, Department of",3,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Washington,"Medicinal Chemistry, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",Tulane University,"Social, Behavioral, and Population Sciences, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Delaware,"Computer and Information Sciences, Department of",1,3,0,0,0,0,0,0
"Biological Engineering, Department of",University of Delaware,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Kansas State University,"Chemical Engineering, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Kansas State University,"Diagnostic Medicine/Pathobiology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Virginia,"Biomedical Engineering, Department of",2,4,0,0,0,0,0,0
"Biological Engineering, Department of",University of Virginia,"Chemical Engineering, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",University of Virginia,"Microbiology, Immunology, and Cancer Biology, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",University of Virginia,"Neuroscience, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Rice University,"Bioengineering, Department of",5,9,0,0,0,0,19,0
"Biological Engineering, Department of",Rice University,"Chemical and Biomolecular Engineering, Department of",1,2,0,0,0,0,0,0
"Biological Engineering, Department of",Rice University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Rice University,"Physics and Astronomy, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Rice University,"Mechanical Engineering, Department of",1,0,0,0,0,0,1,0
"Biological Engineering, Department of",Rice University,"BioSciences, Department of",3,3,0,0,0,0,1,0
"Biological Engineering, Department of","University of Alabama at Birmingham, The","Health Behavior, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Biostatistics, Department of",4,2,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Chemistry and Chemical Biology, Department of",5,14,0,0,0,0,1,0
"Biological Engineering, Department of",Harvard University,"Organismic and Evolutionary Biology, Department of",1,6,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Physics, Department of",3,12,0,0,0,0,2,0
"Biological Engineering, Department of",Harvard University,"Population Medicine, Department of",1,1,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Biological Chemistry and Molecular Pharmacology, Department of",8,11,0,0,0,2,2,0
"Biological Engineering, Department of",Harvard University,"Nutrition, Department of",1,4,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Cell Biology, Department of",3,5,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Genetics, Department of",8,18,0,1,0,1,6,0
"Biological Engineering, Department of",Harvard University,"Neurobiology, Department of",2,4,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Stem Cell and Regenerative Biology, Department of",8,14,0,0,1,4,14,0
"Biological Engineering, Department of",Harvard University,"Systems Biology, Department of",7,12,0,0,1,0,3,0
"Biological Engineering, Department of",Harvard University,"Developmental Biology (Dentistry), Department of",2,5,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,Materials Science and Mechanical Engineering Area,2,0,0,0,0,1,1,0
"Biological Engineering, Department of",Harvard University,"Immunology and Infectious Diseases, Department of",11,31,0,0,0,0,1,0
"Biological Engineering, Department of",Harvard University,"Epidemiology, Department of",3,6,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Environmental Health, Department of",4,6,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,Computer Science Area,2,3,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,Bioengineering Area,6,12,0,0,0,1,2,0
"Biological Engineering, Department of",Harvard University,Applied Physics Area,1,2,0,0,0,0,1,0
"Biological Engineering, Department of",Harvard University,"Biomedical Informatics, Department of",2,2,0,0,0,0,0,0
"Biological Engineering, Department of",Harvard University,"Microbiology, Department of",7,9,0,0,0,0,1,0
"Biological Engineering, Department of",Harvard University,"Immunology, Department of",9,28,0,0,1,0,13,0
