Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"IRVINE, DARRELL J",60069,4,0,0,0,0,0,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"LANGER, ROBERT S",83112,1,0,0,0,0,0,0
"Biological Engineering, Department of","BELCHER, ANGELA M",7658,"VOIGT, CHRISTOPHER A",488068,1,0,0,0,0,1,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"BOYER, LAURIE ANN",175857,1,0,0,0,0,0,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"LANGER, ROBERT S",83112,0,0,0,0,0,20,0
"Biological Engineering, Department of","BOYDEN, EDWARD",12578,"SO, PETER T. C",14958,0,0,0,2,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"BOYDEN, EDWARD",12578,0,0,0,2,0,0,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"ENGELWARD, BEVIN P",141156,1,0,0,0,0,1,0
"Biological Engineering, Department of","SO, PETER T. C",14958,"KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Biological Engineering, Department of","CHAKRABORTY, ARUP K",17819,"IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biological Engineering, Department of","DEDON, PETER C",25472,"ALM, ERIC J",176231,0,0,0,0,1,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"BIRNBAUM, MICHAEL E",827631,2,0,0,0,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"BOYER, LAURIE ANN",175857,3,0,0,0,0,0,0
"Biological Engineering, Department of","HAN, JONGYOON",50517,"ENGELWARD, BEVIN P",141156,1,0,0,0,0,0,0
"Biological Engineering, Department of","LAUFFENBURGER, DOUGLAS A",58851,"BIRNBAUM, MICHAEL E",827631,1,0,0,0,0,0,0
