Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Arizona State University,"JOHNSON, RODNEY",1845177,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Massachusetts Institute of Technology,"BENWAY, HEATHER",961678,2,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Massachusetts Institute of Technology,"FOLLOWS, MICHAEL J",175847,2,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Massachusetts Institute of Technology,"KUJAWINSKI, ELIZABETH",288370,2,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Massachusetts Institute of Technology,"PACHIADAKI, MARIA G",919201,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Massachusetts Institute of Technology,"SAITO, MAKOTO",289220,4,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Oregon State University,"GRAFF, JASON ROBERT",602419,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Oregon State University,"MCPARLAND, ERIN LYNN",2157655,2,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Pennsylvania State University - University Park,"KOSLICKI, DAVID",602373,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,Texas A&M University,"HU, SARAH",1958841,4,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,"University of California, Davis","BROWN, CHARLES TITUS",274295,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,"University of California, Irvine","MARTINY, ADAM",67038,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,"University of California, Santa Barbara","SANTORO, ALYSON",526343,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,University of Georgia,"COHEN, NATALIE",1580483,5,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,"University of Maine, The","BOSS, EMMANUEL",295982,1,0,0,0,0,0,0
