Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology (WHOI), Department of","BAUMGARTNER, MARK",287086,"Biology (WHOI), Department of","ASHJIAN, CARIN",370189,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BAUMGARTNER, MARK",287086,"Biology (WHOI), Department of","JI, RUBAO",370202,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BAUMGARTNER, MARK",287086,"Applied Ocean Physics and Engineering, Department of","LIN, YING-TSONG",370210,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BAUMGARTNER, MARK",287086,"Physical Oceanography, Department of","PICKART, ROBERT",288982,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Biology (WHOI), Department of","BROSNAHAN, MICHAEL",919200,2,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Biology (WHOI), Department of","HAHN, MARK",370201,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Applied Ocean Physics and Engineering, Department of","JIANG, HOUSHUO",288147,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,Marine Policy Center,"JIN, DI",779081,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Applied Ocean Physics and Engineering, Department of","MCGILLICUDDY, DENNIS",288637,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Physical Oceanography, Department of","PICKART, ROBERT",288982,4,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Biology (WHOI), Department of","RICHLEN, MINDY",2157262,10,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"Biology (WHOI), Department of","STEGEMAN, JOHN",370225,0,0,0,0,1,0,0
"Biology (WHOI), Department of","GAST, REBECCA",370177,"Geology and Geophysics, Department of","EDGCOMB, VIRGINIA",544617,1,0,0,0,1,0,0
"Biology (WHOI), Department of","GAST, REBECCA",370177,"Marine Chemistry and Geochemistry, Department of","HANSEL, COLLEEN",544620,1,0,0,0,0,0,0
