Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology (WHOI), Department of",Massachusetts Institute of Technology,"Biology (WHOI), Department of",32,220,1,0,3,2,0,0
"Biology (WHOI), Department of",Arizona State University,"Life Sciences, School of",4,10,0,0,0,0,0,0
"Biology (WHOI), Department of",Arizona State University,"Human Evolution and Social Change, School of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Arizona State University,"Applied Sciences and Arts, School of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Arizona State University,"Ocean Futures, School of",3,7,0,0,0,0,0,0
"Biology (WHOI), Department of",Baylor College of Medicine,"Molecular and Human Genetics, Department of",2,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston College,"Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston College,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston College,"Theology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston University,"Biology, Department of",5,8,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston University,"Anatomy and Neurobiology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston University,"Pathology and Laboratory Medicine, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Boston University,"Environmental Health, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Brigham Young University,"Biology, Department of",1,4,0,0,0,0,0,0
"Biology (WHOI), Department of",California Institute of Technology,"Geological and Planetary Sciences, Division of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of",California Institute of Technology,"Environmental Science and Engineering, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Clemson University,"Biological Sciences, Department of",2,2,0,0,0,0,0,0
"Biology (WHOI), Department of","College of William & Mary, The","Marine Science, School of",5,15,0,0,0,0,0,0
"Biology (WHOI), Department of",Colorado State University,"Fish, Wildlife and Conservation Biology, Department of",2,4,0,0,0,0,0,0
"Biology (WHOI), Department of",Colorado State University,"Soil and Crop Sciences, Department of",2,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Dartmouth College,"Earth Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Earth and Climate Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Evolutionary Anthropology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Marine Science and Conservation, Department of",4,3,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Biostatistics and Bioinformatics, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Duke University,"Environmental Natural Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Florida Atlantic University,"Ocean and Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Florida Institute of Technology,"Ocean Engineering and Marine Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Florida International University,"Biological Sciences, Department of",2,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Florida State University,"Earth, Ocean and Atmospheric Science, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",George Mason University,"Environmental Science and Policy, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of",George Washington University,"Biostatistics and Bioinformatics, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Georgia Institute of Technology,"Civil and Environmental Engineering, School of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Georgia Institute of Technology,"Interactive Computing, School of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Harvard University,"Organismic and Evolutionary Biology, Department of",2,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Harvard University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Harvard University,"Environmental Health, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Idaho State University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Lehigh University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Lehigh University,"Earth and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Louisiana State University,"Oceanography and Coastal Sciences, Department of",3,6,0,0,0,0,0,0
"Biology (WHOI), Department of",Michigan State University,"Biochemistry and Molecular Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Michigan State University,"Plant, Soil, and Microbial Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Michigan State University,"Earth and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Michigan State University,"Microbiology, Genetics, and Immunology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Montana State University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Montana State University,"Ecology, Department of",1,3,0,0,0,0,0,0
"Biology (WHOI), Department of",Montana State University,"Microbiology and Cell Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",North Carolina State University,"Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",North Carolina State University,"Plant and Microbial Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",North Carolina State University,"Molecular Biomedical Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",North Carolina State University,"Clinical Sciences, Department of",1,5,0,0,0,0,0,0
"Biology (WHOI), Department of",Northeastern University,"Chemical Engineering, Department of",1,7,0,0,0,0,0,0
"Biology (WHOI), Department of",Northern Arizona University,"Biological Sciences, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Nova Southeastern University,"Marine and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Nova Southeastern University,"Biological Sciences, Department of",2,4,0,0,0,0,0,0
"Biology (WHOI), Department of",Oakland University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of","Ohio State University, The","Civil, Environmental and Geodetic Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of","Ohio State University, The","Microbiology, Department of",2,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Oklahoma State University,"Microbiology and Molecular Genetics, Department of",2,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Old Dominion University,"Ocean and Earth Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Botany and Plant Pathology, Department of",3,4,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Fisheries and Wildlife Sciences, Department of",7,12,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Microbiology, Department of",3,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Integrative Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Earth, Ocean, and Atmospheric Sciences, College of",5,6,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Applied Economics, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Oregon State University,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Pennsylvania State University - University Park,"Biology, Department of",2,3,0,0,0,0,0,0
"Biology (WHOI), Department of",Pennsylvania State University - University Park,"Computer Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Portland State University,"Environmental Sciences and Management, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Princeton University,"Chemical and Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Princeton University,"Ecology and Evolutionary Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Princeton University,"Geosciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Rutgers - New Brunswick,"Biochemistry and Microbiology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Rutgers - New Brunswick,"Marine and Coastal Sciences, Department of",3,0,0,0,2,0,0,0
"Biology (WHOI), Department of",Rutgers - New Brunswick,"Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",San Diego State University,"Biology, Department of",1,4,0,0,0,0,0,0
"Biology (WHOI), Department of",Stanford University,"Biology, Department of",2,5,0,0,0,0,0,0
"Biology (WHOI), Department of",Stanford University,"Earth System Science, Department of",3,2,0,0,0,0,0,0
"Biology (WHOI), Department of","University at Albany, State University of New York","Biomedical Sciences, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of","Stony Brook University, State University of New York","Ecology and Evolution, Department of",1,4,0,0,0,0,0,0
"Biology (WHOI), Department of","Stony Brook University, State University of New York","Marine Sciences, Division of",2,9,0,0,0,0,0,0
"Biology (WHOI), Department of",Syracuse University,"Biology, Department of",1,5,0,0,0,1,0,0
"Biology (WHOI), Department of",Syracuse University,"Human Development and Family Science, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Temple University,"Biology, Department of",3,3,0,0,0,0,0,0
"Biology (WHOI), Department of",Texas A&M University,"Oceanography, Department of",3,8,0,0,0,0,0,0
"Biology (WHOI), Department of",Texas A&M University,"Marine Biology, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Texas A&M University,"Marine and Coastal Environmental Science, Department of",2,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Texas A&M Corpus Christi,"Life Sciences, Department of",2,2,0,0,0,0,0,0
"Biology (WHOI), Department of",Texas Tech University,"Biological Sciences, Department of",1,6,0,1,0,0,0,0
"Biology (WHOI), Department of","University of Montana, Missoula","Biological Sciences, Division of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Tennessee, The","Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Tennessee, The","Ecology and Evolutionary Biology, Department of",2,1,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Tennessee, The","Mathematics, Department of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Tennessee, The","Microbiology, Department of",2,2,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Tennessee, The","Public Policy and Public Affairs, School of",1,2,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Texas at Austin, The","Geological Sciences, Department of",1,3,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Texas at Austin, The","Marine Science, Department of",3,4,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Texas at Austin, The","Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of",Tufts University,"Earth and Climate Sciences, Department of",1,1,0,0,0,0,0,0
"Biology (WHOI), Department of","University of Alabama, The","Geological Sciences, Department of",1,1,0,0,0,0,0,0
