Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology (WHOI), Department of","BAUMGARTNER, MARK",287086,"ASHJIAN, CARIN",370189,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BAUMGARTNER, MARK",287086,"JI, RUBAO",370202,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"BROSNAHAN, MICHAEL",919200,2,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"HAHN, MARK",370201,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"RICHLEN, MINDY",2157262,10,0,0,0,1,0,0
"Biology (WHOI), Department of","ANDERSON, DONALD",370173,"STEGEMAN, JOHN",370225,0,0,0,0,1,0,0
"Biology (WHOI), Department of","GAST, REBECCA",370177,"JOHNSON, MATT",370203,1,0,0,0,0,0,0
"Biology (WHOI), Department of","GAST, REBECCA",370177,"PACHIADAKI, MARIA G",919201,1,0,0,0,1,0,0
"Biology (WHOI), Department of","GAST, REBECCA",370177,"SOSIK, HEIDI",370185,1,0,0,0,0,0,0
"Biology (WHOI), Department of","GAST, REBECCA",370177,"TARRANT, ANN",370186,0,0,0,0,1,0,0
"Biology (WHOI), Department of","MULLINEAUX, LAUREN",370180,"BEAULIEU, STACE",544615,5,0,0,0,2,0,0
"Biology (WHOI), Department of","MULLINEAUX, LAUREN",370180,"LANEY, SAM",370208,0,0,0,0,1,0,0
"Biology (WHOI), Department of","MULLINEAUX, LAUREN",370180,"NEUBERT, MICHAEL",370181,0,0,0,0,1,0,0
"Biology (WHOI), Department of","MULLINEAUX, LAUREN",370180,"TEPOLT, CAROLYN KOLBE",919203,1,0,0,0,0,0,0
"Biology (WHOI), Department of","NEUBERT, MICHAEL",370181,"JI, RUBAO",370202,0,0,0,0,1,0,0
"Biology (WHOI), Department of","NEUBERT, MICHAEL",370181,"MULLINEAUX, LAUREN",370180,0,0,0,0,1,0,0
"Biology (WHOI), Department of","NEUBERT, MICHAEL",370181,"SATO, MEI",1584399,0,0,0,0,1,0,0
"Biology (WHOI), Department of","NEUBERT, MICHAEL",370181,"SOSIK, HEIDI",370185,4,0,0,0,1,0,0
"Biology (WHOI), Department of","PINEDA, JESUS",370182,"TEPOLT, CAROLYN KOLBE",919203,1,0,0,0,0,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"BEAULIEU, STACE",544615,0,0,0,0,3,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"GAST, REBECCA",370177,1,0,0,0,0,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"JI, RUBAO",370202,2,0,0,0,2,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"LLOPIZ, JOEL",779097,1,0,0,0,2,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"NEUBERT, MICHAEL",370181,4,0,0,0,1,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"SATO, MEI",1584399,0,0,0,0,1,0,0
"Biology (WHOI), Department of","SOSIK, HEIDI",370185,"THORROLD, SIMON",370187,1,0,0,0,0,0,0
"Biology (WHOI), Department of","TARRANT, ANN",370186,"GAST, REBECCA",370177,0,0,0,0,1,0,0
"Biology (WHOI), Department of","TARRANT, ANN",370186,"HAHN, MARK",370201,1,0,0,0,0,0,0
"Biology (WHOI), Department of","THORROLD, SIMON",370187,"BRAUN, CAMRIN",1088692,11,0,0,0,0,0,0
"Biology (WHOI), Department of","THORROLD, SIMON",370187,"LLOPIZ, JOEL",779097,2,0,0,0,0,0,0
"Biology (WHOI), Department of","THORROLD, SIMON",370187,"MOORE, MICHAEL",544625,1,0,0,0,0,0,0
"Biology (WHOI), Department of","THORROLD, SIMON",370187,"SOSIK, HEIDI",370185,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ASHJIAN, CARIN",370189,"BAUMGARTNER, MARK",287086,1,0,0,0,0,0,0
"Biology (WHOI), Department of","ASHJIAN, CARIN",370189,"JI, RUBAO",370202,2,0,0,0,1,0,0
"Biology (WHOI), Department of","ASHJIAN, CARIN",370189,"LLOPIZ, JOEL",779097,0,0,0,0,1,0,0
"Biology (WHOI), Department of","HAHN, MARK",370201,"ALURU, NEEL",544613,6,0,0,0,0,0,0
"Biology (WHOI), Department of","HAHN, MARK",370201,"ANDERSON, DONALD",370173,0,0,0,0,1,0,0
"Biology (WHOI), Department of","HAHN, MARK",370201,"RICHLEN, MINDY",2157262,0,0,0,0,1,0,0
"Biology (WHOI), Department of","HAHN, MARK",370201,"STEGEMAN, JOHN",370225,2,0,0,0,1,0,0
"Biology (WHOI), Department of","HAHN, MARK",370201,"TARRANT, ANN",370186,1,0,0,0,0,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"ASHJIAN, CARIN",370189,2,0,0,0,1,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"BAUMGARTNER, MARK",287086,1,0,0,0,0,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"BEAULIEU, STACE",544615,0,0,0,0,1,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"JENOUVRIER, STEPHANIE",488112,1,0,0,0,1,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"LLOPIZ, JOEL",779097,2,0,0,0,1,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"NEUBERT, MICHAEL",370181,0,0,0,0,1,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"SATO, MEI",1584399,0,0,0,0,1,0,0
"Biology (WHOI), Department of","JI, RUBAO",370202,"SOSIK, HEIDI",370185,2,0,0,0,2,0,0
"Biology (WHOI), Department of","JOHNSON, MATT",370203,"GAST, REBECCA",370177,1,0,0,0,0,0,0
"Biology (WHOI), Department of","LANEY, SAM",370208,"MEYER-KAISER, KIRSTIN",1108288,1,0,0,0,0,0,0
"Biology (WHOI), Department of","LANEY, SAM",370208,"MULLINEAUX, LAUREN",370180,0,0,0,0,1,0,0
"Biology (WHOI), Department of","STEGEMAN, JOHN",370225,"ALURU, NEEL",544613,1,0,0,0,0,0,0
"Biology (WHOI), Department of","STEGEMAN, JOHN",370225,"ANDERSON, DONALD",370173,0,0,0,0,1,0,0
"Biology (WHOI), Department of","STEGEMAN, JOHN",370225,"HAHN, MARK",370201,2,0,0,0,1,0,0
"Biology (WHOI), Department of","STEGEMAN, JOHN",370225,"RICHLEN, MINDY",2157262,0,0,0,0,1,0,0
"Biology (WHOI), Department of","JENOUVRIER, STEPHANIE",488112,"JI, RUBAO",370202,1,0,0,0,1,0,0
"Biology (WHOI), Department of","ALURU, NEEL",544613,"BROSNAHAN, MICHAEL",919200,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ALURU, NEEL",544613,"HAHN, MARK",370201,6,0,0,0,0,0,0
"Biology (WHOI), Department of","ALURU, NEEL",544613,"RICHLEN, MINDY",2157262,0,0,0,0,1,0,0
"Biology (WHOI), Department of","ALURU, NEEL",544613,"STEGEMAN, JOHN",370225,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BEAULIEU, STACE",544615,"JI, RUBAO",370202,0,0,0,0,1,0,0
"Biology (WHOI), Department of","BEAULIEU, STACE",544615,"LLOPIZ, JOEL",779097,0,0,0,0,2,0,0
"Biology (WHOI), Department of","BEAULIEU, STACE",544615,"MULLINEAUX, LAUREN",370180,5,0,0,0,2,0,0
"Biology (WHOI), Department of","BEAULIEU, STACE",544615,"PACHIADAKI, MARIA G",919201,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BEAULIEU, STACE",544615,"SOSIK, HEIDI",370185,0,0,0,0,3,0,0
"Biology (WHOI), Department of","MOONEY, T ARAN",544624,"LLOPIZ, JOEL",779097,1,0,0,0,1,0,0
"Biology (WHOI), Department of","MOORE, MICHAEL",544625,"BRAUN, CAMRIN",1088692,1,0,0,0,0,0,0
"Biology (WHOI), Department of","MOORE, MICHAEL",544625,"THORROLD, SIMON",370187,1,0,0,0,0,0,0
"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,"ASHJIAN, CARIN",370189,0,0,0,0,1,0,0
"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,"BEAULIEU, STACE",544615,0,0,0,0,2,0,0
"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,"JI, RUBAO",370202,2,0,0,0,1,0,0
"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,"MOONEY, T ARAN",544624,1,0,0,0,1,0,0
"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,"SOSIK, HEIDI",370185,1,0,0,0,2,0,0
"Biology (WHOI), Department of","LLOPIZ, JOEL",779097,"THORROLD, SIMON",370187,2,0,0,0,0,0,0
"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,"PACHIADAKI, MARIA G",919201,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BROSNAHAN, MICHAEL",919200,"ALURU, NEEL",544613,0,0,0,0,1,0,0
"Biology (WHOI), Department of","BROSNAHAN, MICHAEL",919200,"ANDERSON, DONALD",370173,2,0,0,0,1,0,0
"Biology (WHOI), Department of","BROSNAHAN, MICHAEL",919200,"RICHLEN, MINDY",2157262,2,0,0,0,1,0,0
"Biology (WHOI), Department of","PACHIADAKI, MARIA G",919201,"ALEXANDER, HARRIET",919199,1,0,0,0,0,0,0
"Biology (WHOI), Department of","PACHIADAKI, MARIA G",919201,"BEAULIEU, STACE",544615,1,0,0,0,0,0,0
"Biology (WHOI), Department of","PACHIADAKI, MARIA G",919201,"GAST, REBECCA",370177,1,0,0,0,1,0,0
"Biology (WHOI), Department of","SHERO, MICHELLE",919202,"BRAUN, CAMRIN",1088692,1,0,0,0,0,0,0
"Biology (WHOI), Department of","TEPOLT, CAROLYN KOLBE",919203,"MULLINEAUX, LAUREN",370180,1,0,0,0,0,0,0
"Biology (WHOI), Department of","TEPOLT, CAROLYN KOLBE",919203,"PINEDA, JESUS",370182,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BRAUN, CAMRIN",1088692,"MOORE, MICHAEL",544625,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BRAUN, CAMRIN",1088692,"SHERO, MICHELLE",919202,1,0,0,0,0,0,0
"Biology (WHOI), Department of","BRAUN, CAMRIN",1088692,"THORROLD, SIMON",370187,11,0,0,0,0,0,0
"Biology (WHOI), Department of","MEYER-KAISER, KIRSTIN",1108288,"LANEY, SAM",370208,1,0,0,0,0,0,0
"Biology (WHOI), Department of","SATO, MEI",1584399,"JI, RUBAO",370202,0,0,0,0,1,0,0
"Biology (WHOI), Department of","SATO, MEI",1584399,"NEUBERT, MICHAEL",370181,0,0,0,0,1,0,0
"Biology (WHOI), Department of","SATO, MEI",1584399,"SOSIK, HEIDI",370185,0,0,0,0,1,0,0
"Biology (WHOI), Department of","RICHLEN, MINDY",2157262,"ALURU, NEEL",544613,0,0,0,0,1,0,0
"Biology (WHOI), Department of","RICHLEN, MINDY",2157262,"ANDERSON, DONALD",370173,10,0,0,0,1,0,0
"Biology (WHOI), Department of","RICHLEN, MINDY",2157262,"BROSNAHAN, MICHAEL",919200,2,0,0,0,1,0,0
"Biology (WHOI), Department of","RICHLEN, MINDY",2157262,"HAHN, MARK",370201,0,0,0,0,1,0,0
"Biology (WHOI), Department of","RICHLEN, MINDY",2157262,"STEGEMAN, JOHN",370225,0,0,0,0,1,0,0
"Biology (WHOI), Department of","BRITTEN, GREGORY",1092447,,,,,,,,,
"Biology (WHOI), Department of","SHANK, TIMOTHY",370183,,,,,,,,,
"Biology (WHOI), Department of","SIEVERT, STEFAN",370184,,,,,,,,,
