Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology, Department of","BAKER, TANIA",6476,Brandeis University,"KARDON, JULIA",977255,1,0,0,0,0,0,0
"Biology, Department of","BAKER, TANIA",6476,Massachusetts Institute of Technology,"DAVIS, JOSEPH HARRY",827666,2,0,0,0,0,0,0
"Biology, Department of","BAKER, TANIA",6476,Massachusetts Institute of Technology,"RIBBECK, KATHARINA",412244,1,0,0,0,0,0,0
"Biology, Department of","BAKER, TANIA",6476,Vanderbilt University,"LANG, MATTHEW J",83102,2,0,0,0,0,0,0
"Biology, Department of","BAKER, TANIA",6476,Washington University in St. Louis,"GHANBARPOUR, ALIREZA",2094574,2,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,Albert Einstein College of Medicine of Yeshiva University,"KELLY, LIBUSHA",608841,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,Harvard University,"SUNYAEV, SHAMIL R",240925,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,Massachusetts Institute of Technology,"CHEESEMAN, IAIN M",175855,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,Massachusetts Institute of Technology,"SHARP, PHILLIP A",122664,0,0,0,0,0,5,0
"Biology, Department of","BARTEL, DAVID",6522,"University at Buffalo, State University of New York","KAUFFMAN, ANNE KATHRYN MARIE",836583,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,"University of California, Los Angeles","LI, JINGYI JESSICA",629779,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,"University of Minnesota, Twin Cities","MYERS, CHAD LEIGHTON",252119,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,University of Rochester,"SARKAR, SOUVARISH",1973799,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,Weill Medical College of Cornell University,"KLEAVELAND, BENJAMIN M",1109319,1,0,0,0,0,0,0
"Biology, Department of","BATISTA, FACUNDO",815641,Columbia University,"KWONG, PETER D",2044574,2,0,0,0,0,0,0
"Biology, Department of","BATISTA, FACUNDO",815641,Emory University,"AMARA, RAMA RAO",2630,1,0,0,0,0,0,0
"Biology, Department of","BATISTA, FACUNDO",815641,Harvard University,"ALT, FREDERICK W",1603,3,0,0,0,0,0,0
"Biology, Department of","BATISTA, FACUNDO",815641,Harvard University,"SCHMIDT, AARON GREGORY",859330,2,0,0,0,0,0,0
"Biology, Department of","BATISTA, FACUNDO",815641,Massachusetts Institute of Technology,"DEDON, PETER C",25472,1,0,0,0,0,0,0
"Biology, Department of","BATISTA, FACUNDO",815641,"Ohio State University, The","XU, KAI",1396007,1,0,0,0,0,0,0
