Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology, Department of","BAKER, TANIA",6476,"Biology, Department of","DAVIS, JOSEPH HARRY",827666,2,0,0,0,0,0,0
"Biology, Department of","BAKER, TANIA",6476,"Biological Engineering, Department of","RIBBECK, KATHARINA",412244,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,"Biology, Department of","CHEESEMAN, IAIN M",175855,1,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,0,0,0,0,0,5,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biological Engineering, Department of","BIRNBAUM, MICHAEL E",827631,2,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","BURGE, CHRISTOPHER B",135419,0,0,0,0,1,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","JACKS, TYLER E",50211,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,2,0,0,0,0,2,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","LEES, JACQUELINE",59618,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biological Engineering, Department of","MANALIS, SCOTT R",176243,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","SANCHEZ-RIVERA, FRANCISCO JAVIER",1351825,2,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,0,0,0,0,1,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","SOTO FELICIANO, YADIRA M",1275077,2,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","VANDER HEIDEN, MATTHEW G",412247,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","WALKER, GRAHAM C",176500,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"Biology, Department of","YAFFE, MICHAEL B",99938,0,0,0,0,1,0,0
"Biology, Department of","HORVITZ, HOWARD ROBERT",48052,"Biology, Department of","REDDIEN, PETER",161933,1,0,0,0,0,0,0
"Biology, Department of","HOUSMAN, DAVID E",48264,"Biological Engineering, Department of","FRAENKEL, ERNEST",176239,0,0,0,0,1,0,0
"Biology, Department of","HOUSMAN, DAVID E",48264,"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,2,0,0,0,0,0,0
"Biology, Department of","HOUSMAN, DAVID E",48264,"Biology, Department of","VANDER HEIDEN, MATTHEW G",412247,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,0,0,0,0,0,3,0
"Biology, Department of","JACKS, TYLER E",50211,"Electrical Engineering and Computer Sciences, Department of","BHATIA, SANGEETA N",8219,2,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biological Engineering, Department of","BLAINEY, PAUL C",544450,0,0,0,0,0,1,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","HEMANN, MICHAEL",46757,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biological Engineering, Department of","KAMM, ROGER DALE",176486,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biological Engineering, Department of","LANGER, ROBERT S",83112,0,0,0,0,0,1,0
"Biology, Department of","JACKS, TYLER E",50211,"Biological Engineering, Department of","MANALIS, SCOTT R",176243,2,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","SANCHEZ-RIVERA, FRANCISCO JAVIER",1351825,4,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Chemistry, Department of","SHALEK, ALEXANDER K",779118,4,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","SOTO FELICIANO, YADIRA M",1275077,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","SPRANGER-ZIMMERMANN, STEFANI",827663,2,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","WEINBERG, ROBERT A",94944,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","WEISSMAN, JONATHAN",315469,2,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biological Engineering, Department of","WHITE, FOREST M",129009,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"Biology, Department of","YILMAZ, OMER",779139,4,0,0,0,0,0,0
"Biology, Department of","HYNES, RICHARD O",52479,"Biology, Department of","VANDER HEIDEN, MATTHEW G",412247,1,0,0,0,0,0,0
"Biology, Department of","HYNES, RICHARD O",52479,"Biological Engineering, Department of","WITTRUP, KARL DANE",115935,2,0,0,0,0,0,0
"Biology, Department of","HYNES, RICHARD O",52479,"Biology, Department of","YILMAZ, OMER",779139,1,0,0,0,0,0,0
"Biology, Department of","KRIEGER, MONTY",56559,"Biology, Department of","LODISH, HARVEY F",62796,0,3,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","BIRNBAUM, MICHAEL E",827631,1,0,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","BRYSON, BRYAN DAVID",856140,1,0,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","GRIFFITH, LINDA G",144921,5,0,0,0,1,2,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biology, Department of","HEMANN, MICHAEL",46757,2,0,0,0,0,2,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biology, Department of","JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Chemistry, Department of","TANNENBAUM, STEVEN R",107807,0,0,0,0,0,1,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Mechanical Engineering, Department of","TRUMPER, DAVID L",109735,1,0,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biology, Department of","WALKER, BRUCE",112395,1,0,0,0,0,0,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biological Engineering, Department of","WHITE, FOREST M",129009,1,0,0,0,0,2,0
"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,"Biology, Department of","YAFFE, MICHAEL B",99938,1,0,0,0,0,0,0
"Biology, Department of","LEES, JACQUELINE",59618,"Biology, Department of","BOYER, LAURIE ANN",175857,1,0,0,0,0,0,0
"Biology, Department of","LEES, JACQUELINE",59618,"Biology, Department of","HEMANN, MICHAEL",46757,1,0,0,0,0,0,0
"Biology, Department of","LEES, JACQUELINE",59618,"Biological Engineering, Department of","MANALIS, SCOTT R",176243,1,0,0,0,0,0,0
"Biology, Department of","LEES, JACQUELINE",59618,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,1,0,0,0,0,0,0
"Biology, Department of","LEES, JACQUELINE",59618,"Biology, Department of","WEINBERG, ROBERT A",94944,2,0,0,0,0,0,0
"Biology, Department of","LEES, JACQUELINE",59618,"Biology, Department of","YILMAZ, OMER",779139,1,0,0,0,0,0,0
"Biology, Department of","LODISH, HARVEY F",62796,"Biology, Department of","CHEN, JIANZHU",176227,1,0,0,0,0,0,0
"Biology, Department of","LODISH, HARVEY F",62796,"Biology, Department of","KRIEGER, MONTY",56559,0,3,0,0,0,0,0
"Biology, Department of","LODISH, HARVEY F",62796,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,1,0,0,0,0,0,0
"Biology, Department of","LAUB, MICHAEL T",83316,"Mechanical Engineering, Department of","DEL VECCHIO, DOMITILLA",412280,1,0,0,1,1,0,0
"Biology, Department of","LAUB, MICHAEL T",83316,"Biology, Department of","KEATING, AMY E",150013,1,0,0,0,0,0,0
"Biology, Department of","LAUB, MICHAEL T",83316,"Biological Engineering, Department of","RIBBECK, KATHARINA",412244,2,0,0,0,0,0,0
"Biology, Department of","LAUB, MICHAEL T",83316,"Biological Engineering, Department of","WEISS, RON",370154,1,0,0,0,1,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Chemical Engineering, Department of","BRAATZ, RICHARD D",412328,12,0,0,0,2,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Biological Engineering, Department of","HAN, JONGYOON",50517,0,0,0,0,1,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Biological Engineering, Department of","MANALIS, SCOTT R",176243,4,0,0,0,0,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Chemical Engineering, Department of","PRATHER, KRISTALA L. JONES",77316,2,0,0,0,0,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Electrical Engineering and Computer Sciences, Department of","RAM, RAJEEV J",161585,0,0,0,0,1,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Chemistry, Department of","SCHLAU-COHEN, GABRIELA S",789733,1,0,0,0,0,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Biology, Department of","SCHWARTZ, THOMAS",164713,1,0,0,0,0,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Chemical Engineering, Department of","STEPHANOPOULOS, GREGORY",176252,4,0,0,0,0,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Biological Engineering, Department of","VOIGT, CHRISTOPHER A",488068,2,0,0,0,0,0,0
"Biology, Department of","SINSKEY, ANTHONY J",85646,"Biological Engineering, Department of","WEISS, RON",370154,0,0,0,0,1,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Chemical Engineering, Department of","HAMMOND, PAULA T",145732,2,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Biology, Department of","HENRY, WHITNEY",1850526,1,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Biology, Department of","JACKS, TYLER E",50211,1,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Biology, Department of","LEES, JACQUELINE",59618,2,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Biological Engineering, Department of","MANALIS, SCOTT R",176243,1,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Chemistry, Department of","SHALEK, ALEXANDER K",779118,1,0,0,0,0,0,0
"Biology, Department of","WEINBERG, ROBERT A",94944,"Biology, Department of","SPRANGER-ZIMMERMANN, STEFANI",827663,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Electrical Engineering and Computer Sciences, Department of","BHATIA, SANGEETA N",8219,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","BURGE, CHRISTOPHER B",135419,0,0,0,0,1,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","CHEN, JIANZHU",176227,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","DRENNAN, CATHY L",175862,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Chemical Engineering, Department of","HAMMOND, PAULA T",145732,0,0,0,0,0,1,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","HEMANN, MICHAEL",46757,0,0,0,0,1,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,2,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biological Engineering, Department of","KOEHLER, ANGELA NICOLE",779088,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","LOURIDO, SEBASTIAN",826660,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,0,0,0,0,1,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Chemical Engineering, Department of","SIKES JOHNSON, HADLEY",412250,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","VANDER HEIDEN, MATTHEW G",412247,2,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","WALKER, GRAHAM C",176500,1,0,0,0,0,0,0
"Biology, Department of","YAFFE, MICHAEL B",99938,"Biology, Department of","YILMAZ, OMER",779139,1,0,0,0,0,0,0
"Biology, Department of","YOUNG, RICHARD A",100462,"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,1,0,0,0,0,0,0
"Biology, Department of","YOUNG, RICHARD A",100462,"Biological Engineering, Department of","CHAKRABORTY, ARUP K",17819,2,0,0,0,2,0,0
"Biology, Department of","YOUNG, RICHARD A",100462,"Biology, Department of","CORRADIN, OLIVIA",1351823,1,0,0,0,0,0,0
"Biology, Department of","YOUNG, RICHARD A",100462,"Biological Engineering, Department of","GRIFFITH, LINDA G",144921,3,0,0,0,0,0,0
"Biology, Department of","YOUNG, RICHARD A",100462,"Biology, Department of","JAENISCH, RUDOLF",288069,7,0,0,0,2,3,0
"Biology, Department of","YOUNG, RICHARD A",100462,Institute for Medical Engineering and Science (IMES),"SHARP, PHILLIP A",122664,3,0,0,0,1,0,0
"Biology, Department of","YOUNG, RICHARD A",100462,"Biology, Department of","VOS, SEYCHELLE M",1108330,1,0,0,0,0,0,0
"Biology, Department of","WALKER, BRUCE",112395,"Biological Engineering, Department of","BIRNBAUM, MICHAEL E",827631,3,0,0,0,0,0,0
"Biology, Department of","WALKER, BRUCE",112395,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,1,0,0,0,0,1,0
"Biology, Department of","WALKER, BRUCE",112395,"Biology, Department of","LAUFFENBURGER, DOUGLAS A",58851,1,0,0,0,0,0,0
"Biology, Department of","WALKER, BRUCE",112395,"Chemical Engineering, Department of","LOVE, JOHN C",63580,0,0,0,0,0,1,0
