Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology, Department of",Massachusetts Institute of Technology,"Biology, Department of",69,576,0,0,16,5,68,0
"Biology, Department of",Albany Medical College,"Molecular and Cellular Physiology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Albany Medical College,"Neuroscience and Experimental Therapeutics, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Albert Einstein College of Medicine of Yeshiva University,"Biochemistry, Department of",2,3,0,0,0,0,0,0
"Biology, Department of",Albert Einstein College of Medicine of Yeshiva University,"Cell Biology, Department of",3,5,0,0,0,0,3,0
"Biology, Department of",Albert Einstein College of Medicine of Yeshiva University,"Microbiology and Immunology, Department of",6,5,0,0,0,0,0,0
"Biology, Department of",Albert Einstein College of Medicine of Yeshiva University,"Pathology, Department of",2,1,0,0,0,0,1,0
"Biology, Department of",Albert Einstein College of Medicine of Yeshiva University,"Epidemiology and Population Health, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Albert Einstein College of Medicine of Yeshiva University,"Systems and Computational Biology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Arizona State University,"Physics, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Arizona State University,"Life Sciences, School of",2,5,0,0,0,0,0,0
"Biology, Department of",Baylor College of Medicine,"Molecular and Human Genetics, Department of",5,4,0,0,0,0,7,0
"Biology, Department of",Baylor College of Medicine,"Neuroscience, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Baylor College of Medicine,"Biochemistry and Molecular Pharmacology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Boston University,"Biology, Department of",3,3,0,0,0,0,1,0
"Biology, Department of",Boston University,"Chemistry, Department of",3,13,0,0,0,0,0,0
"Biology, Department of",Boston University,"Mathematics and Statistics, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Boston University,"Biomedical Engineering, Department of",2,2,0,0,0,0,0,0
"Biology, Department of",Boston University,"Virology, Immunology and Microbiology, Department of",2,3,0,0,0,0,0,0
"Biology, Department of",Boston University,"Pathology and Laboratory Medicine, Department of",5,4,0,0,0,0,0,0
"Biology, Department of",Boston University,"Pharmacology, Physiology and Biophysics, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Boston University,"Materials Science and Engineering, Division of",2,10,0,0,0,0,0,0
"Biology, Department of",Boston University,"Computing and Data Sciences, Faculty of",2,4,0,0,0,0,4,0
"Biology, Department of",Brandeis University,"Biochemistry, Department of",3,6,0,0,0,0,0,0
"Biology, Department of",Brigham Young University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Brown University,"Chemistry, Department of",1,2,0,0,0,0,0,0
"Biology, Department of",Brown University,"Molecular Biology, Cell Biology and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Brown University,"Molecular Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Brown University,"Pathology and Laboratory Medicine, Department of",3,9,0,0,0,0,1,0
"Biology, Department of",California Institute of Technology,"Computing and Mathematical Science, Department of",2,1,0,0,1,0,0,0
"Biology, Department of",California Institute of Technology,"Mechanical and Civil Engineering, Department of",1,0,0,0,1,0,0,0
"Biology, Department of",California Institute of Technology,"Biology and Biological Engineering, Division of",7,9,0,0,1,0,2,0
"Biology, Department of",California Institute of Technology,"Aerospace, Department of",1,0,0,0,1,0,0,0
"Biology, Department of",California Institute of Technology,"Electrical Engineering, Department of",1,0,0,0,1,0,0,0
"Biology, Department of",Carnegie Mellon University,"Biological Sciences, Department of",1,7,0,0,0,0,0,0
"Biology, Department of",Case Western Reserve University,"Biochemistry, Department of",2,5,0,0,0,0,0,0
"Biology, Department of",Case Western Reserve University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Case Western Reserve University,"Genetics and Genome Sciences, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Case Western Reserve University,"Pathology, Department of",3,14,0,0,0,0,0,0
"Biology, Department of",Case Western Reserve University,"Molecular Medicine, Department of",3,3,0,0,0,1,0,0
"Biology, Department of",Clark University,"Biology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Clemson University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Colorado State University,"Biochemistry and Molecular Biology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Colorado State University,"Soil and Crop Sciences, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Biochemistry and Molecular Biophysics, Department of",3,5,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Biological Sciences, Department of",2,2,0,0,0,0,1,0
"Biology, Department of",Columbia University,"Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Chemistry, Department of",1,2,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Epidemiology, Department of",2,3,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Genetics and Development, Department of",5,9,0,1,0,0,1,0
"Biology, Department of",Columbia University,"Pathology and Cell Biology, Department of",7,5,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Molecular Pharmacology and Therapeutics, Department of",3,9,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Physiology and Cellular Biophysics, Department of",2,3,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Biomedical Informatics, Department of",2,4,0,0,0,1,0,0
"Biology, Department of",Columbia University,"Neuroscience, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Columbia University,"Systems Biology, Department of",3,11,0,0,0,1,0,0
"Biology, Department of",Cornell University,"Computer Science, Department of",2,1,0,0,1,0,0,0
"Biology, Department of",Cornell University,"Molecular Biology and Genetics, Department of",3,3,0,0,0,0,0,0
"Biology, Department of",Cornell University,"Biomedical Sciences, Department of",2,3,0,0,0,0,0,0
"Biology, Department of",Cornell University,"Integrative Plant Science, School of",1,1,0,0,0,0,0,0
"Biology, Department of",Dartmouth College,"Psychological and Brain Sciences, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Dartmouth College,"Engineering, Thayer School of",3,3,0,0,0,0,0,0
"Biology, Department of",Dartmouth College,"Biochemistry and Cell Biology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Dartmouth College,"Microbiology and Immunology, Department of",2,2,0,0,0,0,0,0
"Biology, Department of",Drexel University,"Biomedical Engineering, Science and Health Systems, School of",1,1,0,0,0,0,0,0
"Biology, Department of",Duke University,"Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Duke University,"Cell Biology, Department of",2,3,0,0,0,0,0,0
"Biology, Department of",Duke University,"Integrative Immunobiology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Duke University,"Marine Science and Conservation, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Duke University,"Molecular Genetics and Microbiology, Department of",1,3,0,0,0,0,0,0
"Biology, Department of",Duke University,"Pharmacology and Cancer Biology, Department of",4,8,0,0,0,0,0,0
"Biology, Department of",Duke University,"Psychology and Neuroscience, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Duke University,"Biostatistics and Bioinformatics, Department of",2,2,0,0,0,0,0,0
"Biology, Department of",East Tennessee State University,"Biomedical Sciences, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Emory University,"Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Emory University,"Pathology, Department of",2,2,0,0,0,0,0,0
"Biology, Department of",Emory University,"Pharmacology, Department of",4,2,0,0,0,0,0,0
"Biology, Department of",Emory University,"Biomedical Informatics, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Florida Atlantic University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Florida International University,"Global Health, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Florida State University,"Biomedical Sciences, Department of",2,2,0,0,0,0,0,0
"Biology, Department of",Florida State University,"Earth, Ocean and Atmospheric Science, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",George Washington University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",George Washington University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",George Washington University,"Genomics and Precision Medicine, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Georgetown University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Biology, Department of",Georgetown University,"Public Policy, McCourt School of",1,1,0,0,0,0,0,0
"Biology, Department of",Georgia Institute of Technology,"Civil and Environmental Engineering, School of",1,1,0,0,0,0,0,0
"Biology, Department of",Georgia Institute of Technology,"Earth and Atmospheric Sciences, School of",1,1,0,0,0,0,0,0
"Biology, Department of",Georgia Institute of Technology,"Biological Sciences, School of",1,1,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Biostatistics, Department of",4,5,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Chemistry and Chemical Biology, Department of",4,11,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Molecular and Cellular Biology, Department of",3,3,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Organismic and Evolutionary Biology, Department of",3,6,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Physics, Department of",3,2,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Biological Chemistry and Molecular Pharmacology, Department of",6,7,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Nutrition, Department of",5,8,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Cell Biology, Department of",8,22,0,0,2,0,0,0
"Biology, Department of",Harvard University,"Genetics, Department of",17,21,0,0,0,0,11,0
"Biology, Department of",Harvard University,"Neurobiology, Department of",6,8,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Stem Cell and Regenerative Biology, Department of",6,11,0,0,0,0,1,0
"Biology, Department of",Harvard University,"Systems Biology, Department of",6,12,0,0,0,0,0,0
"Biology, Department of",Harvard University,"Developmental Biology (Dentistry), Department of",1,2,0,0,0,0,0,0
