Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology, Department of","Biology, Department of",43,59,3,0,2,3,6,0
"Biology, Department of","Biological Engineering, Department of",23,75,0,0,10,10,15,0
"Biology, Department of","Brain and Cognitive Sciences, Department of",8,11,0,0,0,1,11,0
"Biology, Department of","Chemical Engineering, Department of",12,42,0,0,9,4,5,0
"Biology, Department of","Chemistry, Department of",8,22,0,0,0,2,2,0
"Biology, Department of","Civil and Environmental Engineering, Department of",2,2,0,0,0,0,0,0
"Biology, Department of","Earth, Atmospheric and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Biology, Department of","Electrical Engineering and Computer Sciences, Department of",9,12,0,0,1,2,1,0
"Biology, Department of","Institute for Data, Systems, and Society (IDSS)",2,2,0,0,0,0,0,0
"Biology, Department of",Institute for Medical Engineering and Science (IMES),11,33,0,0,1,3,16,0
"Biology, Department of","Marine Chemistry and Geochemistry, Department of",4,6,0,0,0,0,0,0
"Biology, Department of","Mathematics, Department of",2,10,0,0,1,0,0,0
"Biology, Department of","Mechanical Engineering, Department of",9,27,0,0,2,6,4,0
"Biology, Department of","Media Arts and Sciences, Program in",2,3,0,0,0,1,0,0
"Biology, Department of","Physics, Department of",2,3,0,0,0,2,0,0
