Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Biology, Department of","BAKER, TANIA",6476,"DAVIS, JOSEPH HARRY",827666,2,0,0,0,0,0,0
"Biology, Department of","BARTEL, DAVID",6522,"CHEESEMAN, IAIN M",175855,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"BURGE, CHRISTOPHER B",135419,0,0,0,0,1,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"JACKS, TYLER E",50211,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"LAUFFENBURGER, DOUGLAS A",58851,2,0,0,0,0,2,0
"Biology, Department of","HEMANN, MICHAEL",46757,"LEES, JACQUELINE",59618,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"SANCHEZ-RIVERA, FRANCISCO JAVIER",1351825,2,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"SOTO FELICIANO, YADIRA M",1275077,2,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"VANDER HEIDEN, MATTHEW G",412247,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"WALKER, GRAHAM C",176500,1,0,0,0,0,0,0
"Biology, Department of","HEMANN, MICHAEL",46757,"YAFFE, MICHAEL B",99938,0,0,0,0,1,0,0
"Biology, Department of","HORVITZ, HOWARD ROBERT",48052,"REDDIEN, PETER",161933,1,0,0,0,0,0,0
"Biology, Department of","HOUSMAN, DAVID E",48264,"VANDER HEIDEN, MATTHEW G",412247,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"HEMANN, MICHAEL",46757,1,0,0,0,0,0,0
"Biology, Department of","JACKS, TYLER E",50211,"SANCHEZ-RIVERA, FRANCISCO JAVIER",1351825,4,0,0,0,0,0,0
