Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,George Mason University,"VEIGA, FILIPE",1686420,0,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,Harvard University,"DU, YILUN",2059856,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,Massachusetts Institute of Technology,"AGRAWAL, PULKIT",1108293,1,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,Massachusetts Institute of Technology,"TEDRAKE, RUSSELL L",168635,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,Purdue University,"SHE, YU",1131062,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,Tufts University,"THANIKACHALAM, MOHAN",748067,0,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,University of Illinois at Urbana-Champaign,"YUAN, WENZHEN",980465,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,University of Washington,"GUPTA, ABHISHEK",1753664,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Augusta University (Medical College of Georgia),"STRANAHAN, ALEXIS M",513172,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"Binghamton University, State University of New York","RAO, SIYUAN",837037,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"Binghamton University, State University of New York","WANG, QIANBIN",1783526,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,California Institute of Technology,"MANTHIRAM, KARTHISH",827667,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Carnegie Mellon University,"GROVER, PULKIT",540821,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Georgia Institute of Technology,"DEANS, TARA LYNN",585361,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Harvard University,"YACOBY, AMIR",116704,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"BAWENDI, MOUNGI G",6075,0,0,0,0,0,3,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"BROWN, EMERY NEAL",176268,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"BULOVIC, VLADIMIR",14212,0,0,0,0,0,3,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"CHANDRAKASAN, ANANTHA P",19111,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"CHOI, BOHYUN GLORIA",627124,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"FINK, YOEL",37997,6,0,0,0,0,2,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"LEBEAU, JAMES M",436500,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"NIROUI, FARNAZ",863944,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"PICARD, ROSALIND W",76748,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"ROCHE, ELLEN",827687,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"ROSS, FRANCES MARY",884356,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Massachusetts Institute of Technology,"ZHAO, XUANHE",435117,4,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Michigan State University,"LIN, SHAOTING",1728063,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Michigan State University,"LIU, XINYUE",1902346,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Pennsylvania State University - University Park,"DAVENPORT, EMILY R",945057,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Rensselaer Polytechnic Institute,"SUNDARARAMAN, RAVISHANKAR",786490,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Rice University,"ROBINSON, JACOB THOMAS",520718,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Rice University,"TRINGIDES, CHRISTINA",2146162,0,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Stanford University,"DEISSEROTH, KARL",1795220,0,0,0,0,0,2,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,Stanford University,"ZHAO, RUIKE",1787371,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"University at Buffalo, State University of New York","PRALLE, ARND",77303,2,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"University of California, Irvine","GELINAS, JENNIFER",874647,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"University of California, Irvine","PAN, XIAOQING",296323,1,0,0,0,0,0,0
