Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","BOYER, LAURIE ANN",175857,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,2,0,0,0,0,0,1
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Biology, Department of","JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Electrical Engineering and Computer Sciences, Department of","KELLIS, MANOLIS",53694,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Chemistry, Department of","KIESSLING, LAURA L",60109,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","LANGER, ROBERT S",83112,0,0,0,0,0,20,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Media Arts and Sciences, Program in","SARKAR, DEBLINA",837099,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Biological Engineering, Department of","SO, PETER T. C",14958,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Physics, Department of","SOLJACIC, MARIN",104902,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Physics, Department of","TEGMARK, MAX ERIK",168639,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,5,0,0,0,2,1,2
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","WILSON, MATTHEW A",129535,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"Brain and Cognitive Sciences, Department of","YANG, GUANGYU",1351827,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,1,0,0,0,0,0,0
