Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Brain and Cognitive Sciences, Department of",Massachusetts Institute of Technology,"Brain and Cognitive Sciences, Department of",50,581,6,1,71,14,122,1
"Brain and Cognitive Sciences, Department of",George Washington University,"Anthropology, Department of",1,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",Medical College of Wisconsin,"Cell Biology, Neurobiology and Anatomy, Department of",2,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Biological Sciences, Department of",2,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Electrical and Computer Engineering, Department of",2,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Linguistics, Department of",2,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Physiology and Neuroscience, Department of",4,4,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Psychology, Department of",1,1,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Public Policy, School of",1,1,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Stem Cell Biology and Regenerative Medicine, Department of",1,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Population and Public Health Sciences, Department of",2,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Southern California,"Cancer Biology, Department of",2,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",Cold Spring Harbor,"Biological Sciences, School of",5,8,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of",University of Missouri,"Animal Sciences, Division of",1,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","University of Minnesota, Twin Cities","Biomedical Engineering, Department of",2,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","University of Minnesota, Twin Cities","Mechanical Engineering, Department of",1,0,0,0,0,1,3,0
"Brain and Cognitive Sciences, Department of","University of Minnesota, Twin Cities","Genetics, Cell Biology, and Development, Department of",1,0,0,0,0,0,4,0
"Brain and Cognitive Sciences, Department of",University of Nebraska - Lincoln,"Psychology, Department of",1,6,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Nebraska - Lincoln,"Special Education and Communication Disorders, Department of",1,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Washington,"Biological Structure, Department of",1,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of",University of Washington,"Computer Science & Engineering, Paul G. Allen School of",2,1,0,0,1,0,0,0
