Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Brain and Cognitive Sciences, Department of","Brain and Cognitive Sciences, Department of",36,89,0,0,14,6,6,2
"Brain and Cognitive Sciences, Department of","Aeronautics and Astronautics, Department of",3,1,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","Biological Engineering, Department of",9,8,0,0,5,4,29,0
"Brain and Cognitive Sciences, Department of","Biology, Department of",5,6,0,0,1,1,11,0
"Brain and Cognitive Sciences, Department of","Chemical Engineering, Department of",3,2,0,0,0,0,21,0
"Brain and Cognitive Sciences, Department of","Chemistry, Department of",5,9,0,0,0,0,3,0
"Brain and Cognitive Sciences, Department of","Civil and Environmental Engineering, Department of",1,4,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","Earth, Atmospheric and Planetary Sciences, Department of",2,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","Electrical Engineering and Computer Sciences, Department of",30,59,0,0,35,9,5,0
"Brain and Cognitive Sciences, Department of","Institute for Data, Systems, and Society (IDSS)",7,20,0,0,3,2,0,0
"Brain and Cognitive Sciences, Department of",Institute for Medical Engineering and Science (IMES),10,8,0,0,0,1,29,0
"Brain and Cognitive Sciences, Department of","Linguistics and Philosophy, Department of",2,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","Management, Sloan School of",3,4,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","Marine Chemistry and Geochemistry, Department of",1,5,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","Materials Science and Engineering, Department of",5,9,0,1,1,1,3,0
"Brain and Cognitive Sciences, Department of","Mathematics, Department of",1,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","Mechanical Engineering, Department of",13,12,0,0,11,4,22,0
"Brain and Cognitive Sciences, Department of","Media Arts and Sciences, Program in",5,6,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","Physics, Department of",3,2,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","Political Science, Department of",1,13,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","Urban Studies and Planning, Department of",2,2,0,0,0,0,0,0
