Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"BROWN, EMERY NEAL",176268,2,0,0,0,0,0,1
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"FENG, GUOPING",412326,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"TSAI, LI-HUEI",176373,5,0,0,0,2,1,2
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"WILSON, MATTHEW A",129535,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BOYDEN, EDWARD",12578,"YANG, GUANGYU",1351827,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,"BROWN, EMERY NEAL",176268,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,"JAZAYERI, MEHRDAD",627125,1,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,"MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FIETE, ILA R",34519,"ZHANG, FENG",488071,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GIBSON, EDWARD A",35292,"FEDORENKO, EVELINA G",816039,7,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","GIBSON, EDWARD A",35292,"LEVY, ROGER P",205822,4,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,"DICARLO, JAMES",176354,4,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,"FEDORENKO, EVELINA G",816039,5,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,"MCDERMOTT, JOSHUA HARTMAN",627126,3,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,"SAXE, REBECCA R",176362,9,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","KANWISHER, NANCY",57328,"TENENBAUM, JOSHUA B",108215,6,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","JASANOFF, ALAN PRADIP",61378,"ANIKEEVA, POLINA OLEGOVNA",488093,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","JASANOFF, ALAN PRADIP",61378,"CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","JASANOFF, ALAN PRADIP",61378,"SUR, MRIGANKA",176367,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SHENG, MORGAN HWA-TZE",103684,"FENG, GUOPING",412326,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SHENG, MORGAN HWA-TZE",103684,"ZHANG, FENG",488071,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"DICARLO, JAMES",176354,0,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"FEDORENKO, EVELINA G",816039,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"KANWISHER, NANCY",57328,6,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"LEVY, ROGER P",205822,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"MANSINGHKA, VIKASH K",779099,2,0,0,3,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"MCDERMOTT, JOSHUA HARTMAN",627126,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"SAXE, REBECCA R",176362,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TENENBAUM, JOSHUA B",108215,"SCHULZ, LAURA E",122084,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SCHULZ, LAURA E",122084,"TENENBAUM, JOSHUA B",108215,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","WILSON, MATTHEW A",129535,"BOYDEN, EDWARD",12578,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","WILSON, MATTHEW A",129535,"BROWN, EMERY NEAL",176268,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GABRIELI, JOHN D. E",140613,"SINHA, PAWAN",176368,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","NEDIVI, ELLY",158035,"CHUNG, KWANGHUN",627127,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","NEDIVI, ELLY",158035,"FENG, GUOPING",412326,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SLOTINE, JEAN-JACQUES E",166205,"MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TONEGAWA, SUSUMU",169218,"CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"ANIKEEVA, POLINA OLEGOVNA",488093,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"BOYDEN, EDWARD",12578,2,0,0,0,0,0,1
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"FIETE, ILA R",34519,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"MILLER, EARL K",176365,9,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"TSAI, LI-HUEI",176373,2,0,0,0,0,4,1
"Brain and Cognitive Sciences, Department of","BROWN, EMERY NEAL",176268,"WILSON, MATTHEW A",129535,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"FEDORENKO, EVELINA G",816039,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"KANWISHER, NANCY",57328,4,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"MCDERMOTT, JOSHUA HARTMAN",627126,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","DICARLO, JAMES",176354,"TENENBAUM, JOSHUA B",108215,0,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","DESIMONE, ROBERT",176355,"MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"HEIMAN, MYRIAM",488070,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","GRAYBIEL, ANN M",176361,"SUR, MRIGANKA",176367,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SAXE, REBECCA R",176362,"FEDORENKO, EVELINA G",816039,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SAXE, REBECCA R",176362,"KANWISHER, NANCY",57328,9,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SAXE, REBECCA R",176362,"TENENBAUM, JOSHUA B",108215,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,"ANIKEEVA, POLINA OLEGOVNA",488093,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,"BROWN, EMERY NEAL",176268,9,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,"DESIMONE, ROBERT",176355,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,"FIETE, ILA R",34519,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","MILLER, EARL K",176365,"SLOTINE, JEAN-JACQUES E",166205,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,"FENG, GUOPING",412326,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,"GRAYBIEL, ANN M",176361,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,"JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,"JAZAYERI, MEHRDAD",627125,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","SUR, MRIGANKA",176367,"TSAI, LI-HUEI",176373,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","SINHA, PAWAN",176368,"GABRIELI, JOHN D. E",140613,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,"BOYDEN, EDWARD",12578,5,0,0,0,2,1,2
"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,"BROWN, EMERY NEAL",176268,2,0,0,0,0,4,1
"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,"HEIMAN, MYRIAM",488070,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","TSAI, LI-HUEI",176373,"SUR, MRIGANKA",176367,1,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","LEVY, ROGER P",205822,"FEDORENKO, EVELINA G",816039,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","LEVY, ROGER P",205822,"GIBSON, EDWARD A",35292,4,0,0,0,1,0,0
"Brain and Cognitive Sciences, Department of","LEVY, ROGER P",205822,"TENENBAUM, JOSHUA B",108215,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"BOYDEN, EDWARD",12578,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"CHUNG, KWANGHUN",627127,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"HARNETT, MARK THOMAS",789732,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"NEDIVI, ELLY",158035,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"SHENG, MORGAN HWA-TZE",103684,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"SUR, MRIGANKA",176367,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FENG, GUOPING",412326,"ZHANG, FENG",488071,0,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","HEIMAN, MYRIAM",488070,"CHOI, BOHYUN GLORIA",627124,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","HEIMAN, MYRIAM",488070,"GRAYBIEL, ANN M",176361,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","HEIMAN, MYRIAM",488070,"TSAI, LI-HUEI",176373,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ZHANG, FENG",488071,"FENG, GUOPING",412326,0,0,0,0,0,1,0
"Brain and Cognitive Sciences, Department of","ZHANG, FENG",488071,"FIETE, ILA R",34519,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ZHANG, FENG",488071,"SHENG, MORGAN HWA-TZE",103684,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"BROWN, EMERY NEAL",176268,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"CHOI, BOHYUN GLORIA",627124,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,"MILLER, EARL K",176365,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHOI, BOHYUN GLORIA",627124,"ANIKEEVA, POLINA OLEGOVNA",488093,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHOI, BOHYUN GLORIA",627124,"HEIMAN, MYRIAM",488070,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","JAZAYERI, MEHRDAD",627125,"FIETE, ILA R",34519,1,0,0,1,1,0,0
"Brain and Cognitive Sciences, Department of","JAZAYERI, MEHRDAD",627125,"SUR, MRIGANKA",176367,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","JAZAYERI, MEHRDAD",627125,"YANG, GUANGYU",1351827,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","MCDERMOTT, JOSHUA HARTMAN",627126,"DICARLO, JAMES",176354,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","MCDERMOTT, JOSHUA HARTMAN",627126,"KANWISHER, NANCY",57328,3,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","MCDERMOTT, JOSHUA HARTMAN",627126,"TENENBAUM, JOSHUA B",108215,0,0,0,2,0,0,0
"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,"BOYDEN, EDWARD",12578,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,"FENG, GUOPING",412326,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,"HARNETT, MARK THOMAS",789732,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,"JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,"NEDIVI, ELLY",158035,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","CHUNG, KWANGHUN",627127,"TONEGAWA, SUSUMU",169218,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","MANSINGHKA, VIKASH K",779099,"FLAVELL, STEVEN WILLEM",827627,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","MANSINGHKA, VIKASH K",779099,"TENENBAUM, JOSHUA B",108215,2,0,0,3,0,0,0
"Brain and Cognitive Sciences, Department of","HARNETT, MARK THOMAS",789732,"CHUNG, KWANGHUN",627127,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","HARNETT, MARK THOMAS",789732,"FENG, GUOPING",412326,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,"DICARLO, JAMES",176354,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,"GIBSON, EDWARD A",35292,7,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,"KANWISHER, NANCY",57328,5,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,"LEVY, ROGER P",205822,3,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,"SAXE, REBECCA R",176362,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FEDORENKO, EVELINA G",816039,"TENENBAUM, JOSHUA B",108215,2,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","FLAVELL, STEVEN WILLEM",827627,"MANSINGHKA, VIKASH K",779099,1,0,0,0,0,0,0
"Brain and Cognitive Sciences, Department of","YANG, GUANGYU",1351827,"BOYDEN, EDWARD",12578,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","YANG, GUANGYU",1351827,"JAZAYERI, MEHRDAD",627125,0,0,0,1,0,0,0
"Brain and Cognitive Sciences, Department of","ADELSON, EDWARD H",718,,,,,,,,,
"Brain and Cognitive Sciences, Department of","BEAR, MARK",176351,,,,,,,,,
"Brain and Cognitive Sciences, Department of","FAN, LINLIN",1852183,,,,,,,,,
"Brain and Cognitive Sciences, Department of","FEE, MICHALE SEAN",176353,,,,,,,,,
"Brain and Cognitive Sciences, Department of","HOCKFIELD, SUSAN",412327,,,,,,,,,
"Brain and Cognitive Sciences, Department of","HOGAN, NEVILLE",56722,,,,,,,,,
"Brain and Cognitive Sciences, Department of","LITTLETON, J TROY",288487,,,,,,,,,
"Brain and Cognitive Sciences, Department of","POGGIO, TOMASO A",176363,,,,,,,,,
"Brain and Cognitive Sciences, Department of","PRELEC, DRAZEN",161067,,,,,,,,,
