Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Boston University,"VEGAS, ARTURO",803833,1,0,0,0,0,27,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Brown University,"RAIMONDO, THERESA M",1970442,3,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Carnegie Mellon University,"WHITEHEAD, KATHRYN A",540715,0,0,0,0,0,8,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Clemson University,"MEI, YING",527025,0,0,0,0,0,3,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Cornell University,"MA, MINGLIN",579323,1,0,0,0,0,18,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Cornell University,"PUTNAM, DAVID A",95062,0,0,0,0,0,2,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Emory University,"DAHLMAN, JAMES",779200,1,0,0,0,0,3,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Icahn School of Medicine at Mount Sinai,"DONG, YIZHOU",638769,1,0,0,0,0,12,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Johns Hopkins University,"DOLOFF, JOSHUA",836276,1,0,0,0,0,14,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"BHATIA, SANGEETA N",8219,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"BLANKSCHTEIN, EDMUNDO D",287136,0,0,0,0,0,1,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"JACKS, TYLER E",50211,0,0,0,0,0,3,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"JAENISCH, RUDOLF",288069,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"JASANOFF, ALAN PRADIP",61378,0,0,0,0,0,1,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"KARNIK, ROHIT",64348,0,0,0,0,0,3,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"LANGER, ROBERT S",83112,17,0,0,0,0,62,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"SHALEK, ALEXANDER K",779118,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Massachusetts Institute of Technology,"TRAVERSO, CARLO GIOVANNI",1108308,0,0,0,0,0,1,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Northeastern University,"AMIJI, MANSOOR",3656,0,0,0,0,0,2,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Northwestern University,"VOLPATTI, LISA RAE",2115704,3,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Oregon State University,"SAHAY, GAURAV",748751,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Prairie View A&M University,"KIM, SEUNGCHAN",54545,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Rice University,"BAO, GANG",303870,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Rice University,"VEISEH, OMID",832523,1,0,0,0,0,15,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Rowan University,"RILEY, RACHEL",1100999,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Stanford University,"APPEL, ERIC A",808708,0,0,0,0,0,2,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Stanford University,"CHANG, HOWARD Y",19137,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Temple University,"WANG, KARIN",865258,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,"University of California, Davis","TARANTAL, ALICE F",89162,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,"University of California, Irvine","LIU, WENDY F",339303,0,0,0,0,0,1,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,"University of California, Los Angeles","KOHN, DONALD B",204790,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,"University of California, Riverside","WONG, BRYAN M",603748,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Massachusetts Medical School,"GAO, GUANGPING",332462,2,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Massachusetts Medical School,"XIE, JUN",1586999,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of North Carolina at Chapel Hill,"FENTON, OWEN SHEA",836335,1,0,0,0,0,4,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Notre Dame,"WEBBER, MATTHEW J",789050,0,0,0,0,0,3,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Oklahoma,"RAJI, IDRIS OLAWALE",2157395,4,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Pennsylvania,"MITCHELL, MICHAEL",836839,2,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Pittsburgh,"TAO, JUNYAN",804053,1,0,0,0,0,0,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Wisconsin - Madison,"HAI, AVIAD",937020,0,0,0,0,0,1,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Wisconsin - Madison,"HONG, SEUNGPYO",147508,0,0,0,0,0,3,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,University of Wisconsin - Madison,"LYNN, DAVID M",277969,0,0,0,0,0,2,0
"Chemical Engineering, Department of","ANDERSON, DANIEL GRIFFITH",412267,Worcester Polytechnic Institute,"YANG, JIAWEI",1911335,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BARTON, PAUL I",132682,"University of Maine, The","STECHLINSKI, PETER G",842737,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BARTON, PAUL I",132682,Virginia Polytechnic Institute and State University,"KANNAN, ROHIT",1912057,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Brown University,"KUEHNE, MATTHIAS",1787489,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Case Western Reserve University,"WARBURTON, ROBERT",1792999,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Harvard University,"KOZINSKY, BORIS",858611,3,0,0,0,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BISCHOFBERGER, IRMGARD",827641,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BLANKSCHTEIN, EDMUNDO D",287136,1,0,0,0,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BRAATZ, RICHARD D",412328,25,0,0,1,0,0,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BRUSHETT, FIKILE R",544458,0,0,0,0,0,1,0
"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,Massachusetts Institute of Technology,"BUIE, CULLEN",412279,0,0,0,0,0,1,0
