Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemical Engineering, Department of","COONEY, CHARLES L",21381,"Chemical Engineering, Department of","TROUT, BERNHARDT L",126739,1,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,1,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"Chemical Engineering, Department of","HAMMOND, PAULA T",145732,1,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,0,0,0,0,0,1,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"Mechanical Engineering, Department of","MCKINLEY, GARETH H",412357,2,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"Chemical Engineering, Department of","TROUT, BERNHARDT L",126739,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Electrical Engineering and Computer Sciences, Department of","AKINWANDE, AKINTUNDE I",113445,1,0,0,0,0,0,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Mechanical Engineering, Department of","BARBASTATHIS, GEORGE",132426,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Chemical Engineering, Department of","BRUSHETT, FIKILE R",544458,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,0,0,0,0,0,3,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Mechanical Engineering, Department of","BUONASSISI, ANTHONY",135386,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Chemical Engineering, Department of","COLTON, CLARK K",137689,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Mechanical Engineering, Department of","HART, ANASTASIOS JOHN",250993,1,0,0,0,0,2,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Electrical Engineering and Computer Sciences, Department of","KONG, JING",151147,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Mechanical Engineering, Department of","VARANASI, KRIPA",289601,0,0,0,0,0,2,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"Aeronautics and Astronautics, Department of","WARDLE, BRIAN L",112857,1,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemical Engineering, Department of","BAZANT, MARTIN Z",412297,3,0,0,0,0,0,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemical Engineering, Department of","BRUSHETT, FIKILE R",544458,1,0,0,0,0,0,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Mechanical Engineering, Department of","CHUN, JUNG-HOON",20306,0,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,0,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Mechanical Engineering, Department of","GALLANT, BETAR MAURKAH",827642,2,0,0,0,0,0,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemical Engineering, Department of","GLEASON, KAREN K",39925,0,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Mechanical Engineering, Department of","LIENHARD, JOHN H",92170,1,0,0,0,0,0,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemical Engineering, Department of","RUTLEDGE, GREGORY C",81733,0,0,0,0,0,2,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemistry, Department of","SURENDRANATH, YOGESH",627130,0,0,0,0,0,2,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Chemical Engineering, Department of","TROUT, BERNHARDT L",126739,0,0,0,0,0,2,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"Mechanical Engineering, Department of","VARANASI, KRIPA",289601,3,0,0,0,0,0,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,4,0,0,0,1,1,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Chemistry, Department of","BAWENDI, MOUNGI G",6075,1,0,0,0,0,2,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Chemistry, Department of","BUCHWALD, STEPHEN LEFFLER",14772,1,0,0,0,0,0,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Chemical Engineering, Department of","COLEY, CONNOR WILSON",1092832,7,0,0,0,0,2,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Physics, Department of","FISHER, PETER H",142162,0,0,0,0,0,1,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Materials Science and Engineering, Department of","GOMEZ-BOMBARELLI, RAFAEL",827387,1,0,0,0,0,0,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Chemical Engineering, Department of","GREEN, WILLIAM H",144767,3,0,0,0,0,0,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Biological Engineering, Department of","IRVINE, DARRELL J",60069,0,0,0,0,0,1,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Electrical Engineering and Computer Sciences, Department of","JAAKKOLA, TOMMI S",50192,3,0,0,0,0,1,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Chemistry, Department of","JAMISON, TIMOTHY F",61186,3,0,0,0,0,3,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Physics, Department of","JOANNOPOULOS, JOHN",51541,0,0,0,0,0,1,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"Mathematics, Department of","JOHNSON, STEVEN G",288194,0,0,0,0,0,1,0
