Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemical Engineering, Department of",Massachusetts Institute of Technology,"Chemical Engineering, Department of",37,626,4,0,7,6,217,0
"Chemical Engineering, Department of",George Washington University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Massachusetts Boston,"Biology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Massachusetts Boston,"Physics, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of North Carolina at Chapel Hill,"Biochemistry and Biophysics, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of North Carolina at Chapel Hill,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of North Carolina at Chapel Hill,"Genetics, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of North Carolina at Chapel Hill,"Pharmacy, School of",1,3,0,0,0,0,5,0
"Chemical Engineering, Department of",University of North Carolina at Chapel Hill,"Applied Physical Sciences, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of North Carolina at Chapel Hill,"Data Science and Society, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Brigham Young University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Rensselaer Polytechnic Institute,"Chemical and Biological Engineering, School of",2,2,0,0,0,0,1,0
"Chemical Engineering, Department of",Rensselaer Polytechnic Institute,"Computer Science, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Aerospace Engineering, School of",2,1,0,0,1,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Chemical and Biomolecular Engineering, School of",7,6,0,0,0,0,15,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Chemistry and Biochemistry, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Civil and Environmental Engineering, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Computational Science and Engineering, School of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Electrical and Computer Engineering, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Materials Science and Engineering, School of",2,1,0,0,0,0,1,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Mechanical Engineering, School of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Physics, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Computer Science, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Biomedical Engineering, Department of",3,3,0,0,0,0,1,0
"Chemical Engineering, Department of",Georgia Institute of Technology,"Nuclear & Radiological Engineering and Medical Physics, School of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of",University of Washington,"Biochemistry, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Chemical Engineering, Department of",1,4,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Chemistry, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Genome Sciences, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Laboratory Medicine and Pathology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Global Health, Department of",3,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Washington,"Medical Genetics, Division of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Applied Physics, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Bioengineering, Department of",6,3,0,0,0,0,6,0
"Chemical Engineering, Department of",Stanford University,"Chemical Engineering, Department of",4,6,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Chemistry, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Computer Science, Department of",2,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Energy Science and Engineering, Department of",3,22,0,0,0,0,3,0
"Chemical Engineering, Department of",Stanford University,"Genetics, Department of",3,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Materials Science and Engineering, Department of",5,18,0,0,0,0,7,0
"Chemical Engineering, Department of",Stanford University,"Mechanical Engineering, Department of",5,9,0,0,0,0,1,0
"Chemical Engineering, Department of",Stanford University,"Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Molecular and Cellular Physiology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Structural Biology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Developmental Biology, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Stanford University,"Pathology, Department of",4,3,0,0,0,1,0,0
"Chemical Engineering, Department of",Stanford University,"Electrical Engineering, Department of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of",Stanford University,"Biomedical Data Science, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Biochemistry and Molecular Biophysics, Department of",2,9,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Biomedical Engineering, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Chemical Engineering, Department of",2,1,0,0,0,0,1,0
"Chemical Engineering, Department of",Columbia University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Civil Engineering and Engineering Mechanics, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Epidemiology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Microbiology and Immunology, Department of",1,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Columbia University,"Pathology and Cell Biology, Department of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of",Columbia University,"Physiology and Cellular Biophysics, Department of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of",Columbia University,"Earth and Environmental Engineering, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Missouri,"Food, Nutrition and Exercise Sciences, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of","Ohio State University, The","Integrated Systems Engineering, Department of",1,0,0,1,0,0,0,0
"Chemical Engineering, Department of","Ohio State University, The","Veterinary Biosciences, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Worcester Polytechnic Institute,"Chemical Engineering, Department of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of",Worcester Polytechnic Institute,"Mechanical and Materials Engineering, Department of",2,1,0,0,0,0,1,0
"Chemical Engineering, Department of",Brandeis University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Tufts University,"Biomedical Engineering, Department of",2,0,0,0,0,0,4,0
"Chemical Engineering, Department of",Tufts University,"Chemical and Biological Engineering, Department of",2,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Tufts University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Tufts University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Tufts University,"Molecular Biology and Microbiology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Tufts University,"Infectious Disease and Global Health (School of Veterinary Medicine), Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Tufts University,"Developmental, Molecular and Chemical Biology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Aerospace and Mechanical Engineering, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Computer Science, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Molecular Microbiology and Immunology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Physiology and Neuroscience, Department of",4,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Chemical Engineering and Materials Science, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Southern California,"Stem Cell Biology and Regenerative Medicine, Department of",3,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Gerstner Sloan-Kettering Graduate School of Biomedical Sciences,"Biomedical Sciences, School of",5,3,0,0,0,0,6,0
"Chemical Engineering, Department of",Pennsylvania State University - University Park,"Biomedical Engineering, Department of",1,0,0,0,0,0,2,0
"Chemical Engineering, Department of",Pennsylvania State University - University Park,"Chemical Engineering, Department of",3,2,0,0,0,0,1,0
"Chemical Engineering, Department of",Pennsylvania State University - University Park,"Chemistry, Department of",1,0,0,0,0,0,3,0
"Chemical Engineering, Department of",Pennsylvania State University - University Park,"Neuroscience and Experimental Therapeutics, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Pennsylvania State University - University Park,"Animal Science, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of","University of California, San Francisco","Anatomy, Department of",1,0,0,0,0,1,0,0
"Chemical Engineering, Department of",Marshall University,"Biological Sciences, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Louisiana at Lafayette,"Biology, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Baylor College of Medicine,"Molecular and Cellular Biology, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Baylor College of Medicine,"Molecular and Human Genetics, Department of",1,0,0,0,0,0,7,0
"Chemical Engineering, Department of","University of Kansas, The","Pharmaceutical Chemistry, Department of",2,14,0,0,0,0,0,0
"Chemical Engineering, Department of","University of Kansas, The","Chemical and Petroleum Engineering, Department of",1,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Case Western Reserve University,"Chemical and Biomolecular Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Case Western Reserve University,"Macromolecular Science and Engineering, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Case Western Reserve University,"Pathology, Department of",3,6,0,0,0,0,0,0
"Chemical Engineering, Department of",University of South Carolina,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of","University of Maryland, College Park","Chemical and Biomolecular Engineering, Department of",1,0,0,0,0,0,1,0
"Chemical Engineering, Department of","University of Maryland, College Park","Chemistry and Biochemistry, Department of",2,3,0,0,0,0,0,0
"Chemical Engineering, Department of","University of Maryland, College Park","Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Michigan State University,"Chemical Engineering and Materials Science, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Oregon State University,"Chemical, Biological, and Environmental Engineering, School of",1,3,0,0,0,0,0,0
"Chemical Engineering, Department of",Oregon State University,"Civil and Construction Engineering, School of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Oregon State University,"Pharmacy, College of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of","University of Tennessee, The","Chemical and Biomolecular Engineering, Department of",2,1,0,0,0,0,1,0
"Chemical Engineering, Department of",University of Massachusetts Medical School,"Microbiology, Department of",4,4,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Massachusetts Medical School,"Pathology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Colorado School of Mines,"Chemical & Biological Engineering, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",East Tennessee State University,"Biomedical Sciences, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",University of Northern Colorado,"Chemistry and Biochemistry, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Arizona State University,"Biological and Health Systems Engineering, School of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Arizona State University,"Sustainability, School of",1,1,0,1,0,0,0,0
"Chemical Engineering, Department of",Arizona State University,"Computing and Augmented Intelligence, School of - Computer Science Faculty",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",Arizona State University,"Engineering of Matter, Transport and Energy, School for - Chemical Engineering Faculty",3,11,0,1,0,0,1,0
"Chemical Engineering, Department of",Arizona State University,"Complex Adaptive Systems, School of",2,3,0,1,0,0,0,0
"Chemical Engineering, Department of",New York University,"Biochemistry and Molecular Pharmacology, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of",New York University,"Biology, Department of",2,2,0,0,0,0,0,0
"Chemical Engineering, Department of",Indiana University - Indianapolis,"Biochemistry and Molecular Biology, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of","Stony Brook University, State University of New York","Biomedical Engineering, Department of",1,0,0,0,0,0,4,0
"Chemical Engineering, Department of","Stony Brook University, State University of New York","Electrical and Computer Engineering, Department of",1,2,0,0,0,0,0,0
"Chemical Engineering, Department of","Stony Brook University, State University of New York","Materials Science and Chemical Engineering, Department of",1,7,0,0,0,0,0,0
