Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemical Engineering, Department of","Chemical Engineering, Department of",32,110,0,1,5,4,83,0
"Chemical Engineering, Department of","Aeronautics and Astronautics, Department of",2,2,0,0,0,0,2,0
"Chemical Engineering, Department of","Architecture, Department of",1,1,0,0,0,0,0,0
"Chemical Engineering, Department of","Biological Engineering, Department of",20,63,1,0,1,5,46,0
"Chemical Engineering, Department of","Biology, Department of",16,47,0,0,9,4,7,0
"Chemical Engineering, Department of","Brain and Cognitive Sciences, Department of",7,8,0,0,0,0,21,0
"Chemical Engineering, Department of","Chemistry, Department of",18,78,0,0,0,2,30,0
"Chemical Engineering, Department of","Civil and Environmental Engineering, Department of",3,6,0,0,0,4,1,0
"Chemical Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",17,26,1,0,2,2,16,0
"Chemical Engineering, Department of","Institute for Data, Systems, and Society (IDSS)",3,4,0,0,0,0,2,0
"Chemical Engineering, Department of",Institute for Medical Engineering and Science (IMES),7,27,0,0,1,2,10,0
"Chemical Engineering, Department of","Management, Sloan School of",2,3,0,0,0,0,0,0
"Chemical Engineering, Department of","Materials Science and Engineering, Department of",13,75,0,0,2,3,4,0
"Chemical Engineering, Department of","Mathematics, Department of",4,5,0,0,0,0,1,0
"Chemical Engineering, Department of","Mechanical Engineering, Department of",27,91,0,0,4,3,76,0
"Chemical Engineering, Department of","Media Arts and Sciences, Program in",4,2,1,0,0,0,21,0
"Chemical Engineering, Department of","Nuclear Science and Engineering, Department of",5,11,0,0,1,0,1,0
"Chemical Engineering, Department of","Physics, Department of",8,7,0,0,0,1,3,0
