Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemical Engineering, Department of","COONEY, CHARLES L",21381,"TROUT, BERNHARDT L",126739,1,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"BAZANT, MARTIN Z",412297,1,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"HAMMOND, PAULA T",145732,1,0,0,0,0,0,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"HATTON, TREVOR ALAN",46018,0,0,0,0,0,1,0
"Chemical Engineering, Department of","DOYLE, PATRICK S",29241,"TROUT, BERNHARDT L",126739,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"BRUSHETT, FIKILE R",544458,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"COLTON, CLARK K",137689,0,0,0,0,0,1,0
"Chemical Engineering, Department of","GLEASON, KAREN K",39925,"HATTON, TREVOR ALAN",46018,0,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"BAZANT, MARTIN Z",412297,3,0,0,0,0,0,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"BRUSHETT, FIKILE R",544458,1,0,0,0,0,0,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"DOYLE, PATRICK S",29241,0,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"GLEASON, KAREN K",39925,0,0,0,0,0,1,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"RUTLEDGE, GREGORY C",81733,0,0,0,0,0,2,0
"Chemical Engineering, Department of","HATTON, TREVOR ALAN",46018,"TROUT, BERNHARDT L",126739,0,0,0,0,0,2,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"COLEY, CONNOR WILSON",1092832,7,0,0,0,0,2,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"GREEN, WILLIAM H",144767,3,0,0,0,0,0,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"LANGER, ROBERT S",83112,1,0,0,0,0,7,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"LOVE, JOHN C",63580,0,0,0,0,0,3,0
"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,"OLSEN, BRADLEY D",412248,3,0,0,0,1,0,0
"Chemical Engineering, Department of","LOVE, JOHN C",63580,"BRAATZ, RICHARD D",412328,2,0,0,0,0,1,0
