Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Bowling Green State University,"ANZENBACHER, PAVEL",3026,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Bowling Green State University,"SUN, LIANGFENG",524118,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Bowling Green State University,"ZAMKOV, MIKHAIL",173372,3,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Brandeis University,"SHULENBERGER, KATHERINE",1893534,2,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Brown University,"CHEN, OU",774851,0,0,0,0,0,5,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,California Institute of Technology,"ATWATER, HARRY A",220492,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Colorado School of Mines,"STEVANOVIC, VLADAN",775903,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Duke University,"MITZI, DAVID",637128,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Emory University,"WANG, LILI",1811893,4,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Georgia Institute of Technology,"CORREA-BAENA, JUAN-PABLO",836215,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Harvard University,"NOCERA, DANIEL G",72984,0,0,0,0,0,1,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Lehigh University,"REICHMANIS, ELSA",279439,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"ANIKEEVA, POLINA OLEGOVNA",488093,0,0,0,0,0,3,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"BALDO, MARC A",6644,3,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"BATHE, MARK",287081,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"BULOVIC, VLADIMIR",14212,12,0,0,1,0,18,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"BUONASSISI, ANTHONY",135386,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"GEDIK, NUH",143520,1,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"GRODZINSKY, ALAN J",144993,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"GROSSMAN, JEFFREY C",412313,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"JASANOFF, ALAN PRADIP",61378,2,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"JENSEN, KLAVS F",54951,1,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"KARNIK, ROHIT",64348,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"LANGER, ROBERT S",83112,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"MACFARLANE, ROBERT J",789755,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"MCGUIRE, BRETT A",1108339,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"NELSON, KEITH ADAM",158105,4,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"NGUYEN, NGOC CUONG",1769725,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"PERAIRE, JAIME",288941,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"TISDALE, WILLIAM",544459,1,0,0,0,0,1,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"VAN VOORHIS, TROY",127724,5,0,0,0,1,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Massachusetts Institute of Technology,"WILLARD, ADAM P",627131,2,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Michigan State University,"BORHAN, BABAK",12020,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Michigan State University,"DUXBURY, PHILLIP M",32484,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Michigan State University,"LUNT, RICHARD ROYAL",513761,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,North Carolina State University,"SO, FRANKY",123899,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Northeastern University,"BAJPAYEE, AMBIKA GOEL",786072,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Princeton University,"RAND, BARRY P",543108,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Rice University,"MCHUGH, KEVIN JAMES",836810,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Rice University,"VERDUZCO, RAFAEL",191190,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,St Mary's University,"KHON, DMITRIY",1830149,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Stanford University,"CONGREVE, DANIEL",1107845,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Stanford University,"DIONNE, JENNIFER A",408354,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Stanford University,"LINDENBERG, AARON M",153287,2,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Stanford University,"LIU, FANG",867799,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Stanford University,"MOERNER, WILLIAM E",808658,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Stony Brook University, State University of New York","FRENKEL, ANATOLY",315437,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Stony Brook University, State University of New York","LEVINE, BENJAMIN",513767,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,Tufts University,"PANZER, MATT",319623,0,0,0,0,0,1,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of California, Berkeley","RABANI, ERAN",628716,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of California, Berkeley","UTZAT, HENDRIK",1742388,10,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of California, Riverside","MENTZEL, TAMAR",1490282,0,0,0,0,0,1,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Colorado Boulder,"MCGEHEE, MICHAEL DAVID",155742,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Illinois at Urbana-Champaign,"HAN, HEE-SUN",835173,1,0,0,0,0,3,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Miami,"SUPRAN, GEOFFREY",940293,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Michigan,"FORREST, STEPHEN R",142459,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Michigan,"GIEBINK, NOEL CHRISTOPHER",540518,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of Minnesota, Twin Cities","HOLMES, RUSSELL JAMES",296434,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of Minnesota, Twin Cities","OH, SANG-HYUN",158848,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of Nevada, Reno","BARILE, CHRISTOPHER J",838000,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Rochester,"BROWN, EDWARD",13612,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of South Carolina,"GREYTAK, ANDREW BARDEEN",492335,0,0,0,0,0,1,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of Texas at Austin, The","BALDINI, EDOARDO",836036,1,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"University of Texas at Dallas, The","MALKO, ANTON",199031,2,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,University of Washington,"GAMELIN, DANIEL R",42296,1,0,0,0,0,0,0
