Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Brain and Cognitive Sciences, Department of","ANIKEEVA, POLINA OLEGOVNA",488093,0,0,0,0,0,3,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,3,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Biological Engineering, Department of","BATHE, MARK",287081,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,12,0,0,1,0,18,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Mechanical Engineering, Department of","BUONASSISI, ANTHONY",135386,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Physics, Department of","GEDIK, NUH",143520,1,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Biological Engineering, Department of","GRODZINSKY, ALAN J",144993,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Materials Science and Engineering, Department of","GROSSMAN, JEFFREY C",412313,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Biological Engineering, Department of","JASANOFF, ALAN PRADIP",61378,2,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,1,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Mechanical Engineering, Department of","KARNIK, ROHIT",64348,0,0,0,0,0,2,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Biological Engineering, Department of","LANGER, ROBERT S",83112,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Materials Science and Engineering, Department of","MACFARLANE, ROBERT J",789755,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Chemistry, Department of","MCGUIRE, BRETT A",1108339,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Chemistry, Department of","NELSON, KEITH ADAM",158105,4,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Aeronautics and Astronautics, Department of","NGUYEN, NGOC CUONG",1769725,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Aeronautics and Astronautics, Department of","PERAIRE, JAIME",288941,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Chemical Engineering, Department of","TISDALE, WILLIAM",544459,1,0,0,0,0,1,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Chemistry, Department of","VAN VOORHIS, TROY",127724,5,0,0,0,1,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"Chemistry, Department of","WILLARD, ADAM P",627131,2,0,0,1,0,0,0
"Chemistry, Department of","BUCHWALD, STEPHEN LEFFLER",14772,"Chemical Engineering, Department of","JENSEN, KLAVS F",54951,1,0,0,0,0,0,0
