Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemistry, Department of",Massachusetts Institute of Technology,"Chemistry, Department of",44,710,0,0,17,9,107,0
"Chemistry, Department of","University of Alabama at Birmingham, The","Microbiology, Department of",1,2,0,0,0,0,0,0
"Chemistry, Department of",Brigham Young University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Chemistry, Department of",Princeton University,"Chemical and Biological Engineering, Department of",2,7,0,0,0,0,0,0
"Chemistry, Department of",Princeton University,"Chemistry, Department of",5,9,0,0,0,0,0,0
"Chemistry, Department of",Princeton University,"Electrical Engineering, Department of",2,3,0,0,0,0,0,0
"Chemistry, Department of",Princeton University,"Molecular Biology, Department of",1,1,0,0,0,0,0,0
"Chemistry, Department of",Princeton University,Omenn-Darling Bioengineering Institute,1,1,0,0,0,0,0,0
"Chemistry, Department of",Gonzaga University,"Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Chemistry, Department of",Emory University,"Chemistry, Department of",4,10,0,0,2,0,0,0
"Chemistry, Department of",Emory University,"Physics, Department of",1,2,0,0,0,0,0,0
"Chemistry, Department of",Emory University,"Environmental Health, Department of",1,3,0,0,0,0,0,0
"Chemistry, Department of",Emory University,"Human Genetics, Department of",1,6,0,0,0,0,0,0
"Chemistry, Department of",Texas A&M University,"Aerospace Engineering, Department of",1,1,0,0,0,0,0,0
"Chemistry, Department of",Texas A&M University,"Chemical Engineering, Department of",2,2,0,0,0,0,0,0
"Chemistry, Department of",Texas A&M University,"Chemistry, Department of",2,6,0,0,0,0,0,0
"Chemistry, Department of",Texas A&M University,"Civil Engineering, Department of",1,1,0,0,0,0,0,0
"Chemistry, Department of",Texas A&M University,"Computer Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Chemistry, Department of",Texas A&M University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
