Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemistry, Department of","Chemistry, Department of",35,120,0,0,4,3,18,0
"Chemistry, Department of","Aeronautics and Astronautics, Department of",4,4,0,0,0,0,0,0
"Chemistry, Department of","Biological Engineering, Department of",19,44,0,0,0,2,8,0
"Chemistry, Department of","Biology, Department of",13,15,0,0,0,2,2,0
"Chemistry, Department of","Brain and Cognitive Sciences, Department of",6,9,0,0,0,0,3,0
"Chemistry, Department of","Chemical Engineering, Department of",19,56,0,0,1,2,27,0
"Chemistry, Department of","Civil and Environmental Engineering, Department of",5,5,0,0,0,0,0,0
"Chemistry, Department of","Earth, Atmospheric and Planetary Sciences, Department of",5,5,0,0,1,1,0,0
"Chemistry, Department of","Electrical Engineering and Computer Sciences, Department of",14,28,0,0,1,2,26,0
"Chemistry, Department of","Institute for Data, Systems, and Society (IDSS)",2,2,0,0,0,0,0,0
"Chemistry, Department of",Institute for Medical Engineering and Science (IMES),6,8,0,0,0,1,1,0
"Chemistry, Department of","Materials Science and Engineering, Department of",13,52,0,0,0,3,8,0
"Chemistry, Department of","Mathematics, Department of",2,18,0,0,0,0,0,0
"Chemistry, Department of","Mechanical Engineering, Department of",20,34,0,0,0,2,13,0
"Chemistry, Department of","Media Arts and Sciences, Program in",2,4,0,0,0,0,1,0
"Chemistry, Department of","Nuclear Science and Engineering, Department of",4,9,0,0,0,0,0,0
"Chemistry, Department of","Physics, Department of",8,16,0,0,1,1,0,0
