Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"MCGUIRE, BRETT A",1108339,1,0,0,0,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"NELSON, KEITH ADAM",158105,4,0,0,1,0,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"VAN VOORHIS, TROY",127724,5,0,0,0,1,0,0
"Chemistry, Department of","BAWENDI, MOUNGI G",6075,"WILLARD, ADAM P",627131,2,0,0,1,0,0,0
"Chemistry, Department of","BUCHWALD, STEPHEN LEFFLER",14772,"PENTELUTE, BRADLEY L",488074,9,0,0,1,0,1,0
"Chemistry, Department of","BUCHWALD, STEPHEN LEFFLER",14772,"SWAGER, TIMOTHY M",125401,0,0,0,0,0,2,0
"Chemistry, Department of","FIELD, ROBERT W",32379,"CUMMINS, CHRISTOPHER C",138494,0,0,0,1,0,0,0
"Chemistry, Department of","FIELD, ROBERT W",32379,"MCGUIRE, BRETT A",1108339,1,0,0,0,0,0,0
"Chemistry, Department of","FIELD, ROBERT W",32379,"NELSON, KEITH ADAM",158105,2,0,0,0,0,0,0
"Chemistry, Department of","FIELD, ROBERT W",32379,"VAN VOORHIS, TROY",127724,1,0,0,1,0,0,0
"Chemistry, Department of","ESSIGMANN, JOHN M",34955,"PENG, CHUNTE",1631693,0,0,0,0,0,1,0
"Chemistry, Department of","ESSIGMANN, JOHN M",34955,"SWAGER, TIMOTHY M",125401,3,0,0,0,0,0,0
"Chemistry, Department of","KIESSLING, LAURA L",60109,"IMPERIALI, BARBARA",176237,2,0,0,0,0,0,0
"Chemistry, Department of","KIESSLING, LAURA L",60109,"JOHNSON, JEREMIAH A",488073,3,0,0,0,0,0,0
"Chemistry, Department of","KIESSLING, LAURA L",60109,"KULIK, HEATHER JANINE",627128,1,0,0,0,0,0,0
