Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Boston University,"SEGRE, DANIEL",450273,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Harvard University,"HANAGE, WILLIAM P",393585,4,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Harvard University,"WEITZ, DAVID A",171486,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"BOSAK, TANJA",176228,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"DEDON, PETER C",25472,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"FOURNIER, GREGORY P",779073,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"GRIFFITH, LINDA G",144921,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"KIESSLING, LAURA L",60109,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"KUJAWINSKI, ELIZABETH",288370,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"LIEBERMAN, TAMI DANIELLE",827385,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"ROTHMAN, DANIEL H",120692,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"SAAVEDRA SANCHEZ, SERGUEI",825731,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"SUMMONS, ROGER E",176494,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Massachusetts Institute of Technology,"TRUMPER, DAVID L",109735,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Michigan State University,"TIEDJE, JAMES",108892,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Montana State University,"FIELDS, MATTHEW",37856,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,New York University,"BONNEAU, RICHARD",184491,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,New York University,"NAGLER, JONATHAN",157850,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,New York University,"TUCKER, JOSHUA",184177,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,Northeastern University,"SANTILLANA GUZMAN, MAURICIO",872325,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Ohio State University, The","WESENER, DARRYL",1974657,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"University of California, Berkeley","ARKIN, ADAM",3793,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"University of California, Davis","LEBRILLA, CARLITO B",152402,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"University of California, Davis","TASSONE, FLORA",632257,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"University of Chicago, The","MIMEE, MARK",1087961,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,University of Georgia,"ADAMS, MICHAEL W",603,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,University of Oklahoma,"ZHOU, JIZHONG",118383,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,University of Southern California,"STEEN, ANDREW DECKER",603308,1,0,0,0,0,0,0
