Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Civil and Environmental Engineering, Department of","BUYUKOZTURK, ORAL",14923,"Electrical Engineering and Computer Sciences, Department of","DURAND, FREDERIC",28679,0,0,0,0,0,3,0
"Civil and Environmental Engineering, Department of","BUYUKOZTURK, ORAL",14923,"Electrical Engineering and Computer Sciences, Department of","FREEMAN, WILLIAM T",34370,0,0,0,0,0,3,0
"Civil and Environmental Engineering, Department of","BUYUKOZTURK, ORAL",14923,"Civil and Environmental Engineering, Department of","MASIC, ADMIR",789736,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","BUYUKOZTURK, ORAL",14923,"Nuclear Science and Engineering, Department of","SHORT, MICHAEL P",544545,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","BUYUKOZTURK, ORAL",14923,"Nuclear Science and Engineering, Department of","WHITE, ANNE E",412283,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"Mechanical Engineering, Department of","BUIE, CULLEN",412279,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"Civil and Environmental Engineering, Department of","CORDERO SANCHEZ, OTTO X",789734,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"Marine Chemistry and Geochemistry, Department of","REPETA, DANIEL",289078,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"Marine Chemistry and Geochemistry, Department of","VAN MOOY, BENJAMIN",289597,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"Civil and Environmental Engineering, Department of","DES MARAIS, DAVID LEE",825730,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"Aeronautics and Astronautics, Department of","WOOD, DANIELLE RENEE",827389,0,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,0,0,0,1,1,0,0
"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,"Civil and Environmental Engineering, Department of","DES MARAIS, DAVID LEE",825730,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","OCHSENDORF, JOHN A",87416,"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,2,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","OCHSENDORF, JOHN A",87416,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,2,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","OCHSENDORF, JOHN A",87416,"Civil and Environmental Engineering, Department of","MUELLER, CAITLIN T",779101,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","OCHSENDORF, JOHN A",87416,"Mechanical Engineering, Department of","YANG, MARIA",100078,2,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","ULM, FRANZ-JOSEF",90673,"Civil and Environmental Engineering, Department of","MASIC, ADMIR",789736,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ULM, FRANZ-JOSEF",90673,"Chemistry, Department of","SHAO-HORN, YANG",165211,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,"Institute for Data, Systems, and Society (IDSS)","DE NEUFVILLE, RICHARD L",604594,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,"Civil and Environmental Engineering, Department of","HEMOND, HAROLD F",146587,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,"Mechanical Engineering, Department of","SLOCUM, ALEXANDER H",123583,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","GSCHWEND, PHILIP M",107510,"Mechanical Engineering, Department of","HART, ANASTASIOS JOHN",250993,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","GSCHWEND, PHILIP M",107510,"Civil and Environmental Engineering, Department of","PLATA, DESIREE LOUISE",635686,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","GSCHWEND, PHILIP M",107510,"Marine Chemistry and Geochemistry, Department of","REDDY, CHRISTOPHER",289059,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","HEMOND, HAROLD F",146587,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","HEMOND, HAROLD F",146587,"Mechanical Engineering, Department of","HUNTER, IAN",58965,0,0,0,0,0,5,0
"Civil and Environmental Engineering, Department of","HEMOND, HAROLD F",146587,"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"Civil and Environmental Engineering, Department of","AMIN, SAURABH",488075,1,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"Management, Sloan School of","GOLREZAEI, NEGIN",856129,0,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"Management, Sloan School of","JACQUILLAT, ALEXANDRE",786101,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"Management, Sloan School of","TRICHAKIS, NIKOS",393251,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Biological Engineering, Department of","DEDON, PETER C",25472,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Urban Studies and Planning, Department of","DUARTE DE ARAUJO SILVA, FABIO",1108314,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Biological Engineering, Department of","GRIFFITH, LINDA G",144921,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Chemistry, Department of","KIESSLING, LAURA L",60109,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Marine Chemistry and Geochemistry, Department of","KUJAWINSKI, ELIZABETH",288370,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"Civil and Environmental Engineering, Department of","LIEBERMAN, TAMI DANIELLE",827385,1,0,0,0,0,0,0
