Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Civil and Environmental Engineering, Department of",Massachusetts Institute of Technology,"Civil and Environmental Engineering, Department of",42,416,1,0,41,3,23,0
"Civil and Environmental Engineering, Department of","College of William & Mary, The","Mathematics, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Biochemistry and Molecular Biology, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Genetics, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Marine Programs, School of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Ecology, School of",2,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Epidemiology and Biostatistics, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Bioinformatics, Institute of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Georgia,"Electrical and Computer Engineering, School of",1,0,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of",Virginia Polytechnic Institute and State University,"Civil and Environmental Engineering, Department of",4,6,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Virginia Polytechnic Institute and State University,"History, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Montana, Missoula","Chemistry and Biochemistry, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Montana, Missoula","Biological Sciences, Division of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Montana, Missoula","Ecosystem and Conservation Sciences, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Maryland, Baltimore County","Chemical, Biochemical and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Maryland, Baltimore County","Public Policy, School of",1,0,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of",University of Massachusetts Lowell,"Civil and Environmental Engineering, Department of",2,2,0,0,1,0,1,0
"Civil and Environmental Engineering, Department of",University of Massachusetts Lowell,"Environmental, Earth and Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Massachusetts Lowell,"Biomedical Engineering, Department of",1,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of",Gonzaga University,"Civil Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Florida State University,"Computer Science, Department of",1,0,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of",Florida State University,"Earth, Ocean and Atmospheric Science, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Missouri,"Natural Resources, Division of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Ohio State University, The","Civil, Environmental and Geodetic Engineering, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Ohio State University, The","Earth Sciences, School of",3,4,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","Ohio State University, The","Electrical and Computer Engineering, Department of",3,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Ohio State University, The","Microbiology, Department of",3,5,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Ohio State University, The","Environment and Natural Resources, School of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Minnesota, Twin Cities","Biomedical Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Minnesota, Twin Cities","Chemistry, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Minnesota, Twin Cities","Civil, Environmental, and Geo- Engineering, Department of",2,7,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","University of Minnesota, Twin Cities","Ecology, Evolution and Behavior, Department of",2,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Minnesota, Twin Cities","Plant and Microbial Biology, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of Minnesota, Twin Cities","Forest Resources, Department of",1,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Northern Arizona University,"Biological Sciences, Department of",6,6,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Northern Arizona University,"Mathematics and Statistics, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Chemical and Environmental Engineering, Department of",2,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Ecology and Evolutionary Biology, Department of",2,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Genetics, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Earth & Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Mechanical Engineering and Material Science, Department of",3,6,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Molecular, Cellular and Developmental Biology, Department of",2,6,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Environment, School of the",2,10,0,0,3,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Management, School of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Chronic Disease Epidemiology, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Environmental Health Sciences, Department of",2,10,0,0,3,0,0,0
"Civil and Environmental Engineering, Department of",Yale University,"Biostatistics, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Aerospace Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Atmospheric Sciences, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Biological and Agricultural Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Civil Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Ecology and Conservation Biology, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Oceanography, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Texas A&M University,"Plant Pathology and Microbiology, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of New Mexico, The","Biology, Department of",2,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of New Mexico, The","Chemical and Biological Engineering, Department of",1,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","University of California, San Diego","Computer Science and Engineering, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of California, San Diego","Chemical and Nanoengineering, Department of",3,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of California, San Diego","Physics, Department of",1,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of California, San Diego","Oceanography (Scripps), Institution of",3,4,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of California, San Diego","Biological Sciences - Molecular Biology, Section of",1,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","University of California, San Diego","Data Science Institute, Halicioglu",4,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Arizona State University,"Biological and Health Systems Engineering, School of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Arizona State University,"Sustainability, School of",2,1,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of",Arizona State University,"Computing and Augmented Intelligence, School of - Computer Science Faculty",2,1,0,0,1,1,0,0
"Civil and Environmental Engineering, Department of",Arizona State University,"Engineering of Matter, Transport and Energy, School for - Materials Science and Engineering Faculty",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Arizona State University,"Polytechnic School, The",1,2,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of",Chapman University,"Science and Technology, College of",1,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Biostatistics, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Biology, Department of",1,1,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Electrical and Computer Engineering, Department of",2,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Environmental Health, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Epidemiology, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Systems Engineering, Division of",2,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Operations and Technology Management, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Materials Science and Engineering, Division of",1,1,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Earth and Environment, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boston University,"Computing and Data Sciences, Faculty of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Case Western Reserve University,"Electrical, Computer, and Systems Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Case Western Reserve University,"Mathematics, Applied Mathematics and Statistics, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Case Western Reserve University,"Mechanical and Aerospace Engineering, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Northwestern University,"Materials Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Northwestern University,"Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Northwestern University,"Chemistry, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Boise State University,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Biostatistics, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Civil and Environmental Engineering, Department of",2,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Environmental and Occupational Health Sciences, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Mechanical Engineering, Department of",1,0,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Biomedical Informatics and Medical Education, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Oceanography, School of",3,6,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",University of Washington,"Health Metrics Sciences, Department of",5,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Washington University in St. Louis,"Earth, Environmental, and Planetary Sciences, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Washington University in St. Louis,"Energy, Environmental and Chemical Engineering, Department of",3,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Washington University in St. Louis,"Mechanical Engineering and Materials Science, Department of",1,1,0,0,0,0,0,0
