Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Civil and Environmental Engineering, Department of","Civil and Environmental Engineering, Department of",23,14,0,0,4,1,1,0
"Civil and Environmental Engineering, Department of","Aeronautics and Astronautics, Department of",6,7,0,0,3,0,1,0
"Civil and Environmental Engineering, Department of","Applied Ocean Physics and Engineering, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Architecture, Department of",3,7,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of","Biological Engineering, Department of",4,3,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","Biology (WHOI), Department of",3,6,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Biology, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Brain and Cognitive Sciences, Department of",2,4,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Chemical Engineering, Department of",7,6,0,0,0,4,1,0
"Civil and Environmental Engineering, Department of","Chemistry, Department of",3,5,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of",Comparative Media Studies/Writing Section,1,2,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","Earth, Atmospheric and Planetary Sciences, Department of",9,8,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","Electrical Engineering and Computer Sciences, Department of",10,13,0,0,2,0,3,0
"Civil and Environmental Engineering, Department of","Geology and Geophysics, Department of",1,1,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","Institute for Data, Systems, and Society (IDSS)",13,24,0,0,5,0,0,0
"Civil and Environmental Engineering, Department of",Institute for Medical Engineering and Science (IMES),3,9,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","Management, Sloan School of",7,5,0,0,1,0,0,0
"Civil and Environmental Engineering, Department of","Marine Chemistry and Geochemistry, Department of",5,7,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","Materials Science and Engineering, Department of",6,9,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Mathematics, Department of",2,3,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of","Mechanical Engineering, Department of",19,25,0,0,3,3,8,0
"Civil and Environmental Engineering, Department of","Media Arts and Sciences, Program in",3,1,0,0,3,0,0,0
"Civil and Environmental Engineering, Department of",Music and Theater Arts Section,1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Nuclear Science and Engineering, Department of",4,3,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","Physics, Department of",1,2,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Political Science, Department of",1,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","Urban Studies and Planning, Department of",5,10,0,0,0,0,1,0
