Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Civil and Environmental Engineering, Department of","BUYUKOZTURK, ORAL",14923,"MASIC, ADMIR",789736,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","CHISHOLM, SALLIE W",20948,"CORDERO SANCHEZ, OTTO X",789734,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"AMIN, SAURABH",488075,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"DES MARAIS, DAVID LEE",825730,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","ENTEKHABI, DARA",34408,"HARVEY, CHARLES F",43839,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,"AMIN, SAURABH",488075,0,0,0,1,1,0,0
"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,"DES MARAIS, DAVID LEE",825730,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","HARVEY, CHARLES F",43839,"ENTEKHABI, DARA",34408,0,0,0,0,1,0,0
"Civil and Environmental Engineering, Department of","OCHSENDORF, JOHN A",87416,"MUELLER, CAITLIN T",779101,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","ULM, FRANZ-JOSEF",90673,"MASIC, ADMIR",789736,3,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","WHITTLE, ANDREW",96890,"HEMOND, HAROLD F",146587,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","GSCHWEND, PHILIP M",107510,"PLATA, DESIREE LOUISE",635686,0,0,0,0,0,1,0
"Civil and Environmental Engineering, Department of","HEMOND, HAROLD F",146587,"WHITTLE, ANDREW",96890,1,0,0,0,0,0,0
"Civil and Environmental Engineering, Department of","JAILLET, PATRICK",148653,"AMIN, SAURABH",488075,1,0,0,2,0,0,0
"Civil and Environmental Engineering, Department of","ALM, ERIC J",176231,"LIEBERMAN, TAMI DANIELLE",827385,1,0,0,0,0,0,0
