Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Comparative Media Studies/Writing Section,"DIAZ, JUNOT",412371,Syracuse University,"SAUNDERS, GEORGE W",194520,0,1,0,0,0,0,0
Comparative Media Studies/Writing Section,"HARRELL, DOUGLAS ALAN",412320,Indiana University - Bloomington,"KWAK, HAEWOON",1976606,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"HARRELL, DOUGLAS ALAN",412320,University of Central Florida,"SENGUN, SERCAN",837132,1,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Case Western Reserve University,"LEE, IRENE NGA WING",86899,0,0,0,0,1,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Clemson University,"BALLATO, JOHN M",269511,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Clemson University,"CHALIL MADATHIL, KAPIL",755608,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Massachusetts Institute of Technology,"ABELSON, HAROLD",105363,0,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Massachusetts Institute of Technology,"BREAZEAL, CYNTHIA LYNN",12743,1,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Massachusetts Institute of Technology,"DE WECK, OLIVIER L",25387,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Massachusetts Institute of Technology,"FIELD, FRANK R",175970,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Massachusetts Institute of Technology,"KIMERLING, LIONEL C",60448,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Massachusetts Institute of Technology,"OCHSENDORF, JOHN A",87416,2,0,0,1,0,0,0
