Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,0,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,1,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Aeronautics and Astronautics, Department of","DE WECK, OLIVIER L",25387,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Institute for Data, Systems, and Society (IDSS)","FIELD, FRANK R",175970,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Materials Science and Engineering, Department of","KIMERLING, LIONEL C",60448,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Architecture, Department of","OCHSENDORF, JOHN A",87416,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,Comparative Media Studies/Writing Section,"REICH, BLAIR JUSTIN F",827672,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Management, Sloan School of","WESTERMAN, GEORGE F",837848,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"Mechanical Engineering, Department of","YANG, MARIA",100078,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"REICH, BLAIR JUSTIN F",827672,"Media Arts and Sciences, Program in","BREAZEAL, CYNTHIA LYNN",12743,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"REICH, BLAIR JUSTIN F",827672,Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"LEE, CRYSTAL",1769235,Anthropology Program,"JONES, GRAHAM M",412242,1,0,0,1,1,0,0
Comparative Media Studies/Writing Section,"LEE, CRYSTAL",1769235,"Electrical Engineering and Computer Sciences, Department of","SATYANARAYAN, ARVIND",845324,1,0,0,1,0,0,0
