Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Comparative Media Studies/Writing Section,Comparative Media Studies/Writing Section,2,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"Aeronautics and Astronautics, Department of",1,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,Anthropology Program,1,1,0,0,1,1,0,0
Comparative Media Studies/Writing Section,"Architecture, Department of",1,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"Civil and Environmental Engineering, Department of",1,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"Electrical Engineering and Computer Sciences, Department of",2,1,0,0,3,0,0,0
Comparative Media Studies/Writing Section,"Institute for Data, Systems, and Society (IDSS)",2,2,0,0,2,0,0,0
Comparative Media Studies/Writing Section,"Management, Sloan School of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"Materials Science and Engineering, Department of",1,0,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"Mechanical Engineering, Department of",1,2,0,0,1,0,0,0
Comparative Media Studies/Writing Section,"Media Arts and Sciences, Program in",1,1,0,0,2,0,0,0
