Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
Comparative Media Studies/Writing Section,"KLOPFER, ERIC",61415,"REICH, BLAIR JUSTIN F",827672,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"REICH, BLAIR JUSTIN F",827672,"KLOPFER, ERIC",61415,1,0,0,0,0,0,0
Comparative Media Studies/Writing Section,"BALD, VIVEK A",412291,,,,,,,,,
Comparative Media Studies/Writing Section,"CONDRY, IAN",412300,,,,,,,,,
Comparative Media Studies/Writing Section,"DIAZ, JUNOT",412371,,,,,,,,,
Comparative Media Studies/Writing Section,"DUONG, PALOMA",789746,,,,,,,,,
Comparative Media Studies/Writing Section,"GUBAR, MARAH",145129,,,,,,,,,
Comparative Media Studies/Writing Section,"HARRELL, DOUGLAS ALAN",412320,,,,,,,,,
Comparative Media Studies/Writing Section,"LEE, CRYSTAL",1769235,,,,,,,,,
Comparative Media Studies/Writing Section,"LEE, HELEN ELAINE",412321,,,,,,,,,
Comparative Media Studies/Writing Section,"LEVENSON, THOMAS",412373,,,,,,,,,
Comparative Media Studies/Writing Section,"LIGHTMAN, ALAN PAIGE",544611,,,,,,,,,
Comparative Media Studies/Writing Section,"MANNING, KENNETH R",412374,,,,,,,,,
Comparative Media Studies/Writing Section,"MNOOKIN, SETH",544607,,,,,,,,,
Comparative Media Studies/Writing Section,"MONTFORT, NICK",412322,,,,,,,,,
Comparative Media Studies/Writing Section,"ROQUET SHIMIZU, PAUL CHRISTOPHER",827636,,,,,,,,,
Comparative Media Studies/Writing Section,"SCHIAPPA, ANTHONY EDWARD",121759,,,,,,,,,
Comparative Media Studies/Writing Section,"TAYLOR, TINA LYNN",544608,,,,,,,,,
