Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,California Institute of Technology,"KIRSCHVINK, JOESEPH L",60909,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,California Institute of Technology,"TISSOT, FRANCOIS LOUIS HENRI",837259,0,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Harvard University,"FU, ROGER RENNAN",815762,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Massachusetts Institute of Technology,"CHATTERJEE, NILANJAN",544465,2,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Massachusetts Institute of Technology,"JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Massachusetts Institute of Technology,"TOMINAGA, MASAKO",529892,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Massachusetts Institute of Technology,"WEISS, BENJAMIN P",171439,7,0,0,2,2,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Purdue University,"SCIASCIA BORLINA, CAUE",2154640,4,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,"University of Iowa, The","DORALE, JEFFREY",140099,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,"University of Minnesota, Twin Cities","FEINBERG, JOSHUA M",252373,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,University of Wisconsin - Madison,"HAI, AVIAD",937020,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Vanderbilt University,"HARDIN, DOUGLAS P",45083,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,Worcester Polytechnic Institute,"TRUBKO, RAISA",1179097,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Boston University,"BAKER, AMY E",1979353,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,California Institute of Technology,"NEWMAN, DIANNE K",175861,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Colorado State University,"THOMPSON, DAVID",148499,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Dartmouth College,"O'TOOLE, GEORGE A",113753,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Georgetown University,"LICKLEY, MEGAN",1700789,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"APPRILL, AMY",488109,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"HORNER, TRISTAN",837849,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"MARSHALL, JOHN C",176483,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"NIELSEN, SUNE",488118,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"PLATA, DESIREE LOUISE",635686,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"PRINN, RONALD G",161150,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"SOLOMON, SUSAN",544464,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,Massachusetts Institute of Technology,"WANKEL, SCOTT",544631,2,0,0,0,0,0,0
