Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Earth, Atmospheric and Planetary Sciences, Department of","VAN DER HILST, ROBERT D",26210,"Earth, Atmospheric and Planetary Sciences, Department of","FRANK, WILLIAM B",901472,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","VAN DER HILST, ROBERT D",26210,"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"Earth, Atmospheric and Planetary Sciences, Department of","EMANUEL, KERRY ANDREW",287645,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"Earth, Atmospheric and Planetary Sciences, Department of","FLIERL, GLENN RICHARD",176392,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"Earth, Atmospheric and Planetary Sciences, Department of","HILL, CHRISTOPHER N",544469,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"Earth, Atmospheric and Planetary Sciences, Department of","MARSHALL, JOHN C",176483,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"Physical Oceanography, Department of","POLZIN, KURT",370217,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JUANES, RUBEN",52517,"Earth, Atmospheric and Planetary Sciences, Department of","HAGER, BRADFORD H",176397,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Geology and Geophysics, Department of","CROSS, ANDREW",1108297,0,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Earth, Atmospheric and Planetary Sciences, Department of","DE WIT, JULIEN",836246,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Marine Chemistry and Geochemistry, Department of","KLEIN, FRIEDER",488113,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Geology and Geophysics, Department of","LE ROUX, VERONIQUE",779092,1,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Earth, Atmospheric and Planetary Sciences, Department of","ONO, SHUHEI",176487,2,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Earth, Atmospheric and Planetary Sciences, Department of","PEC, MATEJ",827675,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Earth, Atmospheric and Planetary Sciences, Department of","SEAGER, SARA",289272,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Earth, Atmospheric and Planetary Sciences, Department of","VAN DER HILST, ROBERT D",26210,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,1,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ZUBER, MARIA",101859,"Media Arts and Sciences, Program in","ESVELT, KEVIN MICHAEL",827651,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ZUBER, MARIA",101859,"Earth, Atmospheric and Planetary Sciences, Department of","SODERBLOM, JASON",779122,2,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ZUBER, MARIA",101859,"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,4,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ROTHMAN, DANIEL H",120692,"Biological Engineering, Department of","ALM, ERIC J",176231,0,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ROTHMAN, DANIEL H",120692,"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,0,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ROTHMAN, DANIEL H",120692,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,1,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","ROTHMAN, DANIEL H",120692,"Earth, Atmospheric and Planetary Sciences, Department of","O'GORMAN, PAUL",175844,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","PRINN, RONALD G",161150,"Earth, Atmospheric and Planetary Sciences, Department of","BABBIN, ANDREW R",827674,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","PRINN, RONALD G",161150,"Aeronautics and Astronautics, Department of","BARRETT, STEVEN R. H",412239,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","PRINN, RONALD G",161150,"Earth, Atmospheric and Planetary Sciences, Department of","MARSHALL, JOHN C",176483,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","PRINN, RONALD G",161150,"Earth, Atmospheric and Planetary Sciences, Department of","SOLOMON, SUSAN",544464,3,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","PRINN, RONALD G",161150,"Aeronautics and Astronautics, Department of","SPETH, RAYMOND L",940145,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Earth, Atmospheric and Planetary Sciences, Department of","ANDRADE LIMA, EDUARDO",779055,7,0,0,2,2,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Marine Chemistry and Geochemistry, Department of","APPRILL, AMY",488109,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,12,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Earth, Atmospheric and Planetary Sciences, Department of","CHATTERJEE, NILANJAN",544465,2,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,1,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Biological Engineering, Department of","JASANOFF, ALAN PRADIP",61378,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Biology (WHOI), Department of","MOONEY, T ARAN",544624,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Earth, Atmospheric and Planetary Sciences, Department of","SODERBLOM, JASON",779122,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Geology and Geophysics, Department of","TOMINAGA, MASAKO",529892,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","WEISS, BENJAMIN P",171439,"Earth, Atmospheric and Planetary Sciences, Department of","ZUBER, MARIA",101859,4,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","O'GORMAN, PAUL",175844,"Civil and Environmental Engineering, Department of","ELTAHIR, ELFATIH A. B",4946,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","O'GORMAN, PAUL",175844,"Earth, Atmospheric and Planetary Sciences, Department of","HILL, CHRISTOPHER N",544469,1,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","O'GORMAN, PAUL",175844,"Earth, Atmospheric and Planetary Sciences, Department of","ROTHMAN, DANIEL H",120692,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FOLLOWS, MICHAEL J",175847,"Biology (WHOI), Department of","ALEXANDER, HARRIET",919199,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FOLLOWS, MICHAEL J",175847,"Biology (WHOI), Department of","BRITTEN, GREGORY",1092447,3,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FOLLOWS, MICHAEL J",175847,"Earth, Atmospheric and Planetary Sciences, Department of","HILL, CHRISTOPHER N",544469,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FOLLOWS, MICHAEL J",175847,"Marine Chemistry and Geochemistry, Department of","SAITO, MAKOTO",289220,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,"Biological Engineering, Department of","ALM, ERIC J",176231,0,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,"Earth, Atmospheric and Planetary Sciences, Department of","CHATTERJEE, NILANJAN",544465,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","BOSAK, TANJA",176228,"Earth, Atmospheric and Planetary Sciences, Department of","FOURNIER, GREGORY P",779073,2,0,0,0,1,0,0
