Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Earth, Atmospheric and Planetary Sciences, Department of",Massachusetts Institute of Technology,"Earth, Atmospheric and Planetary Sciences, Department of",52,870,2,0,137,1,4,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Alabama at Birmingham, The","Physics, Department of",1,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Binghamton University, State University of New York","Geological Sciences, Department of",1,7,0,0,3,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Binghamton University, State University of New York","Systems Science and Industrial Engineering, School of",1,0,0,1,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",Texas State University,"Physics, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Maine, The","Earth and Climate Sciences, School of",1,0,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Maine, The","Marine Sciences, School of",2,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Texas at Austin, The","Astronomy, Department of",4,28,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Texas at Austin, The","Geography and the Environment, Department of",1,0,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Texas at Austin, The","Geological Sciences, Department of",7,10,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Texas at Austin, The","Petroleum and Geosystems Engineering, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",West Virginia University,"Geology and Geography, Department of",1,6,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Aerospace and Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Astronomy, Department of",6,10,0,0,11,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Geosciences, Department of",4,10,0,0,4,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Planetary Sciences, Department of",10,33,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Applied Mathematics, GIDP",2,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Optical Sciences, College of",4,2,0,0,5,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Hydrology and Atmospheric Sciences, Department of",2,3,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Global Change, GIDP",1,3,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","University of Arizona, The","Remote Sensing and Spatial Analysis, GIDP",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",Utah State University,"Plants, Soils and Climate, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",Icahn School of Medicine at Mount Sinai,"Environmental Medicine and Public Health, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",University of the Pacific,"Geological and Environmental Sciences, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",University of the Pacific,"Physics, Department of",1,1,0,0,0,0,0,0
