Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Earth, Atmospheric and Planetary Sciences, Department of","Earth, Atmospheric and Planetary Sciences, Department of",37,87,0,0,11,6,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Aeronautics and Astronautics, Department of",5,3,0,0,4,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Applied Ocean Physics and Engineering, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Architecture, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Biological Engineering, Department of",4,4,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Biology (WHOI), Department of",3,6,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Biology, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Brain and Cognitive Sciences, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Chemistry, Department of",1,0,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Civil and Environmental Engineering, Department of",9,6,0,0,0,2,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Electrical Engineering and Computer Sciences, Department of",4,0,1,0,1,0,1,0
"Earth, Atmospheric and Planetary Sciences, Department of","Geology and Geophysics, Department of",12,14,0,0,6,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Institute for Data, Systems, and Society (IDSS)",2,0,0,0,1,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of",Institute for Medical Engineering and Science (IMES),1,0,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Marine Chemistry and Geochemistry, Department of",10,16,0,0,2,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Materials Science and Engineering, Department of",2,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Mathematics, Department of",2,5,0,0,0,1,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Mechanical Engineering, Department of",1,5,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Media Arts and Sciences, Program in",3,2,0,0,4,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Nuclear Science and Engineering, Department of",1,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Physical Oceanography, Department of",7,6,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Physics, Department of",7,63,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","Urban Studies and Planning, Department of",1,1,0,0,0,0,0,0
