Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Earth, Atmospheric and Planetary Sciences, Department of","VAN DER HILST, ROBERT D",26210,"FRANK, WILLIAM B",901472,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","VAN DER HILST, ROBERT D",26210,"JAGOUTZ, OLIVER E",53961,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"EMANUEL, KERRY ANDREW",287645,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"FLIERL, GLENN RICHARD",176392,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"HILL, CHRISTOPHER N",544469,2,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","FERRARI, RAFFAELE",33865,"MARSHALL, JOHN C",176483,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JUANES, RUBEN",52517,"HAGER, BRADFORD H",176397,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"DE WIT, JULIEN",836246,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"ONO, SHUHEI",176487,2,0,0,1,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"PEC, MATEJ",827675,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"SEAGER, SARA",289272,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"VAN DER HILST, ROBERT D",26210,1,0,0,0,0,0,0
"Earth, Atmospheric and Planetary Sciences, Department of","JAGOUTZ, OLIVER E",53961,"WEISS, BENJAMIN P",171439,1,0,0,1,0,0,0
