Unit,Unit Scholar,Unit Scholar ID,Collab Institution,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Columbia University,"BELLOVIN, STEVEN M",133127,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Georgetown University,"BLAZE, MATTHEW",9351,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Massachusetts Institute of Technology,"BREAZEAL, CYNTHIA LYNN",12743,2,0,0,6,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Massachusetts Institute of Technology,"KLOPFER, ERIC",61415,0,0,0,2,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Massachusetts Institute of Technology,"RIVEST, RONALD L",98082,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Massachusetts Institute of Technology,"SUSSMAN, GERALD J",168086,0,1,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ABELSON, HAROLD",105363,Tufts University,"LANDAU, SUSAN",763210,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADALSTEINSSON, ELFAR",112328,Florida Institute of Technology,"LI, XIANQI",1587058,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADALSTEINSSON, ELFAR",112328,Massachusetts Institute of Technology,"DANIEL, LUCA",138781,0,0,0,0,0,2,0
"Electrical Engineering and Computer Sciences, Department of","ADALSTEINSSON, ELFAR",112328,Massachusetts Institute of Technology,"GOLLAND, POLINA",144262,5,0,0,8,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADALSTEINSSON, ELFAR",112328,Massachusetts Institute of Technology,"WHITE, JACOB K",96690,7,0,0,11,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADALSTEINSSON, ELFAR",112328,Vanderbilt University,"MOYER, DANIEL",1782526,1,0,0,4,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Carnegie Mellon University,"SESHAN, SRINIVASAN",103352,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Massachusetts Institute of Technology,"CHANDRAKASAN, ANANTHA P",19111,1,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Massachusetts Institute of Technology,"ESVELT, KEVIN MICHAEL",827651,1,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Massachusetts Institute of Technology,"INDYK, PIOTR",49676,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Massachusetts Institute of Technology,"KATABI, DINA",53288,0,0,0,0,0,4,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Massachusetts Institute of Technology,"MAES, PATRICIA",96199,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","ADIB, FADEL",827650,Massachusetts Institute of Technology,"PARADISO, JOSEPH A",159574,1,0,0,0,1,0,0
