Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Mathematics, Department of","BERGER LEIGHTON, BONNIE",287114,1,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","CARBIN, MICHAEL JAMES",824718,0,0,0,1,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","CHLIPALA, ADAM",488078,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Physics, Department of","DETMOLD, WILLIAM",28897,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","DURAND, FREDERIC",28679,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","EMER, JOEL S",488079,0,0,0,1,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","GHOBADI, MANYA",856148,1,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","MADDEN, SAMUEL R",72171,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","MATUSIK, WOJCIECH",488080,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","RAGAN-KELLEY, JONATHAN M",795466,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","SANCHEZ MARTIN, DANIEL",544483,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Physics, Department of","SHANAHAN, PHIALA E",827409,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","SHUN, JULIAN",827678,0,0,0,2,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","SOLAR LEZAMA, ARMANDO",289378,0,0,0,0,2,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"Electrical Engineering and Computer Sciences, Department of","SZE, VIVIENNE",627139,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","ALIZADEH ATTAR, MOHAMMADREZA",789742,0,0,0,8,1,0,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","GHOBADI, MANYA",856148,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","GIFFORD, DAVID K",44443,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","MADDEN, SAMUEL R",72171,0,0,0,2,0,12,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","RUS, DANIELA L",175959,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","SHAH, DEVAVRAT",122541,0,0,0,0,0,2,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"Electrical Engineering and Computer Sciences, Department of","ZELDOVICH, NICKOLAI",175958,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,"Chemistry, Department of","BAWENDI, MOUNGI G",6075,3,0,0,0,0,2,0
"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,2,0,0,0,0,5,0
