Unit,Collab Institution,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Electrical Engineering and Computer Sciences, Department of",Massachusetts Institute of Technology,"Electrical Engineering and Computer Sciences, Department of",153,915,12,0,723,22,283,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Davis","Computer Science, Department of",2,1,0,0,4,0,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Davis","Electrical and Computer Engineering, Department of",4,2,0,0,5,0,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Davis","Statistics, Department of",2,3,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Davis","Plant Sciences, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Davis","Biomedical Engineering, Department of",1,2,0,0,2,1,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Davis","Microbiology and Molecular Genetics, Department of",1,2,0,0,2,1,0,0
"Electrical Engineering and Computer Sciences, Department of","College of William & Mary, The","Mathematics, Department of",1,2,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",George Washington University,"Civil and Environmental Engineering, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Riverside","Computer Science and Engineering, Department of",2,1,0,0,4,0,0,0
"Electrical Engineering and Computer Sciences, Department of","University of California, Riverside","Electrical and Computer Engineering, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Kentucky,"Pharmacy Practice and Science, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Kentucky,"Statistics, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Biostatistics and Medical Informatics, Department of",4,5,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Computer Sciences, Department of",6,2,0,0,7,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Industrial and Systems Engineering, Department of",2,2,0,0,5,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Materials Science and Engineering, Department of",2,2,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Physics, Department of",3,3,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,Information School,1,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Statistics, Department of",4,4,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Genetics, Department of - SMPH",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Wisconsin - Madison,"Nuclear Engineering and Engineering Physics, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Southern California,"Aerospace and Mechanical Engineering, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Southern California,"Biological Sciences, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of",University of Southern California,"Chemistry, Department of",1,0,0,11,0,0,1,0
