Unit,Collab Unit,Collaborators,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Electrical Engineering and Computer Sciences, Department of","Electrical Engineering and Computer Sciences, Department of",134,209,5,1,238,48,112,0
"Electrical Engineering and Computer Sciences, Department of","Aeronautics and Astronautics, Department of",15,11,0,0,28,4,11,0
"Electrical Engineering and Computer Sciences, Department of","Architecture, Department of",1,6,0,0,1,0,1,0
"Electrical Engineering and Computer Sciences, Department of","Biological Engineering, Department of",18,27,1,0,3,2,10,0
"Electrical Engineering and Computer Sciences, Department of","Biology, Department of",12,12,0,0,1,2,1,0
"Electrical Engineering and Computer Sciences, Department of","Brain and Cognitive Sciences, Department of",22,59,0,0,37,9,5,0
"Electrical Engineering and Computer Sciences, Department of","Chemical Engineering, Department of",14,28,1,0,1,2,17,0
"Electrical Engineering and Computer Sciences, Department of","Chemistry, Department of",13,28,0,0,1,2,26,0
"Electrical Engineering and Computer Sciences, Department of","Civil and Environmental Engineering, Department of",6,14,0,0,4,0,3,0
"Electrical Engineering and Computer Sciences, Department of","Economics, Department of",5,8,0,0,1,2,0,0
"Electrical Engineering and Computer Sciences, Department of","Institute for Data, Systems, and Society (IDSS)",33,47,0,1,33,13,11,0
"Electrical Engineering and Computer Sciences, Department of","Linguistics and Philosophy, Department of",1,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","Management, Sloan School of",17,14,0,1,2,2,2,0
"Electrical Engineering and Computer Sciences, Department of","Materials Science and Engineering, Department of",20,39,0,0,6,3,13,0
"Electrical Engineering and Computer Sciences, Department of","Mathematics, Department of",9,7,0,0,4,6,0,0
"Electrical Engineering and Computer Sciences, Department of","Mechanical Engineering, Department of",23,38,0,0,11,4,18,0
"Electrical Engineering and Computer Sciences, Department of","Media Arts and Sciences, Program in",10,9,0,0,10,2,0,0
"Electrical Engineering and Computer Sciences, Department of","Nuclear Science and Engineering, Department of",6,23,0,0,3,3,1,0
"Electrical Engineering and Computer Sciences, Department of","Physics, Department of",20,20,0,0,8,9,8,0
"Electrical Engineering and Computer Sciences, Department of","Political Science, Department of",5,5,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","Urban Studies and Planning, Department of",1,1,0,0,2,0,0,0
"Electrical Engineering and Computer Sciences, Department of",Anthropology Program,1,1,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of",Comparative Media Studies/Writing Section,2,1,0,0,3,0,0,0
"Electrical Engineering and Computer Sciences, Department of",Institute for Medical Engineering and Science (IMES),11,23,0,0,6,2,10,0
"Electrical Engineering and Computer Sciences, Department of","Applied Ocean Physics and Engineering, Department of",1,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","Earth, Atmospheric and Planetary Sciences, Department of",2,0,1,0,1,0,1,0
