Unit,Unit Scholar,Unit Scholar ID,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"CARBIN, MICHAEL JAMES",824718,0,0,0,1,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"CHLIPALA, ADAM",488078,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"DURAND, FREDERIC",28679,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"EMER, JOEL S",488079,0,0,0,1,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"GHOBADI, MANYA",856148,1,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"MADDEN, SAMUEL R",72171,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"MATUSIK, WOJCIECH",488080,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"RAGAN-KELLEY, JONATHAN M",795466,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"SANCHEZ MARTIN, DANIEL",544483,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"SHUN, JULIAN",827678,0,0,0,2,0,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"SOLAR LEZAMA, ARMANDO",289378,0,0,0,0,2,0,0
"Electrical Engineering and Computer Sciences, Department of","AMARASINGHE, SAMAN P",1745,"SZE, VIVIENNE",627139,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"ALIZADEH ATTAR, MOHAMMADREZA",789742,0,0,0,8,1,0,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"GHOBADI, MANYA",856148,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"GIFFORD, DAVID K",44443,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"MADDEN, SAMUEL R",72171,0,0,0,2,0,12,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"RUS, DANIELA L",175959,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"SHAH, DEVAVRAT",122541,0,0,0,0,0,2,0
"Electrical Engineering and Computer Sciences, Department of","BALAKRISHNAN, HARI",4077,"ZELDOVICH, NICKOLAI",175958,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,"BULOVIC, VLADIMIR",14212,2,0,0,0,0,5,0
"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,"ENGLUND, DIRK R",261298,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,"KONG, JING",151147,1,0,0,0,1,1,0
"Electrical Engineering and Computer Sciences, Department of","BALDO, MARC A",6644,"SCHMIDT, MARTIN ARNOLD",121863,0,0,0,0,0,3,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"CARBIN, MICHAEL JAMES",824718,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"COLEY, CONNOR WILSON",1092832,5,0,0,1,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"GHOBADI, MANYA",856148,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"GRAY, MARTHA L",39725,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"JAAKKOLA, TOMMI S",50192,10,0,0,2,1,1,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"JEGELKA, STEFANIE SABRINA",789740,2,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"KATABI, DINA",53288,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"MATUSIK, WOJCIECH",488080,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"MEDARD, MURIEL",106318,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"RINARD, MARTIN C",79281,0,0,0,0,1,1,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"SOLAR LEZAMA, ARMANDO",289378,0,0,0,0,1,0,0
"Electrical Engineering and Computer Sciences, Department of","BARZILAY, REGINA",7865,"UHLER, CAROLINE",789741,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BHATIA, SANGEETA N",8219,"COLEY, CONNOR WILSON",1092832,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BHATIA, SANGEETA N",8219,"RUS, DANIELA L",175959,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,"AKINWANDE, AKINTUNDE I",113445,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,"BULOVIC, VLADIMIR",14212,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,"CHEN, YUFENG",1107894,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,"DANIEL, LUCA",138781,1,0,0,3,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,"ENGLUND, DIRK R",261298,2,0,0,3,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BERGGREN, KARL K",9467,"LYNCH, NANCY ANN",95831,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BONING, DUANE S",11597,"DANIEL, LUCA",138781,1,0,0,2,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BONING, DUANE S",11597,"HAN, SONG",856143,0,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BONING, DUANE S",11597,"NOTAROS, JELENA",1304702,1,0,0,2,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BONING, DUANE S",11597,"WHITE, JACOB K",96690,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,"BALDO, MARC A",6644,2,0,0,0,0,5,0
"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,"BERGGREN, KARL K",9467,1,0,0,0,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,"KONG, JING",151147,1,0,0,1,0,0,0
"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,"LANG, JEFFREY H",58424,5,0,0,2,0,12,0
"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,"LEE, HAE-SEUNG",152464,0,0,0,0,0,1,0
"Electrical Engineering and Computer Sciences, Department of","BULOVIC, VLADIMIR",14212,"NIROUI, FARNAZ",863944,3,0,0,1,0,6,0
