Unit,Unit Scholar,Unit Scholar ID,Collab Unit,Collab Scholar,Collab Scholar ID,Co-Authored Articles,Co-Authored Books,Co-Authored Chapters,Co-Authored Conference Proceedings,Co-Authored Grants,Co-Authored Patents,Co-Authored Trials
"Economics, Department of","ANGRIST, JOSHUA",4478,"Economics, Department of","ABADIE, ALBERTO",241039,1,0,0,0,0,0,0
"Economics, Department of","ANGRIST, JOSHUA",4478,"Economics, Department of","AUTOR, DAVID H",131945,1,0,0,0,0,0,0
"Economics, Department of","ANGRIST, JOSHUA",4478,"Economics, Department of","PATHAK, PARAG",175960,4,0,0,0,0,0,0
"Economics, Department of","CHERNOZHUKOV, VICTOR V",20338,"Economics, Department of","ACEMOGLU, DARON DARON",286887,1,0,0,0,0,0,0
"Economics, Department of","CHERNOZHUKOV, VICTOR V",20338,"Economics, Department of","NEWEY, WHITNEY K",83855,5,0,0,0,0,0,0
"Economics, Department of","CHERNOZHUKOV, VICTOR V",20338,"Economics, Department of","WERNING, IVAN",128824,1,0,0,0,0,0,0
"Economics, Department of","CHERNOZHUKOV, VICTOR V",20338,"Economics, Department of","WHINSTON, MICHAEL DENNIS",114534,1,0,0,0,0,0,0
"Economics, Department of","DUFLO, ESTHER",29770,"Economics, Department of","BANERJEE, ABHIJIT",132352,11,2,1,0,0,0,1
"Economics, Department of","DUFLO, ESTHER",29770,"Economics, Department of","OLKEN, BENJAMIN",175961,6,0,0,0,0,0,1
"Economics, Department of","DUFLO, ESTHER",29770,"Economics, Department of","SCHILBACH, FRANK",789739,2,0,0,0,0,0,0
"Economics, Department of","FINKELSTEIN, AMY",32612,"Economics, Department of","AUTOR, DAVID H",131945,0,0,0,0,0,0,1
"Economics, Department of","FINKELSTEIN, AMY",32612,"Economics, Department of","BANERJEE, ABHIJIT",132352,1,0,0,0,0,0,0
"Economics, Department of","FINKELSTEIN, AMY",32612,"Management, Sloan School of","DOYLE, JOSEPH J",29237,1,0,0,0,0,0,0
"Economics, Department of","FINKELSTEIN, AMY",32612,"Economics, Department of","OLKEN, BENJAMIN",175961,1,0,0,0,0,0,0
"Economics, Department of","FUDENBERG, DREW",34875,"Economics, Department of","MULLAINATHAN, SENDHIL",109514,1,0,0,0,0,0,0
"Economics, Department of","FUDENBERG, DREW",34875,"Economics, Department of","WOLITZKY, ALEXANDER GREENBERG",525294,2,0,0,0,0,0,0
"Economics, Department of","NEWEY, WHITNEY K",83855,"Economics, Department of","CHERNOZHUKOV, VICTOR V",20338,5,0,0,0,0,0,0
"Economics, Department of","MULLAINATHAN, SENDHIL",109514,"Economics, Department of","FUDENBERG, DREW",34875,1,0,0,0,0,0,0
"Economics, Department of","MULLAINATHAN, SENDHIL",109514,"Electrical Engineering and Computer Sciences, Department of","RAGHAVAN, MANISH",1412506,3,0,0,1,0,0,0
"Economics, Department of","MULLAINATHAN, SENDHIL",109514,"Economics, Department of","RAMBACHAN, ASHESHANANDA",1823993,1,0,0,0,0,0,0
